1#1 1
1#2 2/2
1#3 3/3
1#4 4/4
1#5 5/5
1#6 6/6
1#7 7/7
1#8 8/8
1#9 9/9
2#1 1+1
2#2 2
2#3 3!/3
2#4 √4
2#5 (5+5)/5
2#6 (6+6)/6
2#7 (7+7)/7
2#8 √√(8+8)
2#9 (√9)!/√9
3#1 1+1+1
3#2 2+2/2
3#3 3
3#4 4-4/4
3#5 (5+5+5)/5
3#6 (6+6+6)/6
3#7 (7+7+7)/7
3#8 √(8+8/8)
3#9 √9
4#1 1+1+1+1
4#2 2+2
4#3 3+3/3
4#4 4
4#5 5-5/5
4#6 6-(6+6)/6
4#7 77/7-7
4#8 √(8+8)
4#9 √9+9/9
5#1 (1+1+1)!-1
5#2 2+2+2/2
5#3 3+3!/3
5#4 4+4/4
5#5 5
5#6 6-6/6
5#7 7-(7+7)/7
5#8 8-√(8+8/8)
5#9 (√9)!-9/9
6#1 (1+1+1)!
6#2 2+2+2
6#3 3!
6#4 4!/4
6#5 5+5/5
6#6 6
6#7 7-7/7
6#8 8-√√(8+8)
6#9 (√9)!
7#1 1+(1+1+1)!
7#2 22/2-2-2
7#3 3!+3/3
7#4 (4!+4)/4
7#5 5+(5+5)/5
7#6 6+6/6
7#7 7
7#8 8-8/8
7#9 (√9)!+9/9
8#1 11-1-1-1
8#2 2*(2+2)
8#3 (3!/3)^3
8#4 4+4
8#5 5!/(5+5+5)
8#6 6+(6+6)/6
8#7 7+7/7
8#8 8
8#9 9-9/9
9#1 11-1-1
9#2 22/2-2
9#3 3*3
9#4 4+4+4/4
9#5 5+5-5/5
9#6 (66-6-6)/6
9#7 7+(7+7)/7
9#8 8+8/8
9#9 9
10#1 11-1
10#2 (22-2)/2
10#3 (33-3)/3
10#4 4+4!/4
10#5 5+5
10#6 (66-6)/6
10#7 (77-7)/7
10#8 8+√√(8+8)
10#9 9+9/9
11#1 11
11#2 22/2
11#3 33/3
11#4 44/4
11#5 55/5
11#6 66/6
11#7 77/7
11#8 88/8
11#9 99/9
12#1 1+11
12#2 (2+2)!/2
12#3 3!+3!
12#4 4!/√4
12#5 5!/(5+5)
12#6 6+6
12#7 (7+77)/7
12#8 8+√(8+8)
12#9 √9+9
13#1 1+1+11
13#2 2+22/2
13#3 (3!+33)/3
13#4 (√4+4!)/√4
13#5 (5!-55)/5
13#6 6+6+6/6
13#7 7+7-7/7
