1001#1 1+(11-1)^(1+1+1)
1001#2 (√(2)^22-2)/2-22
1001#3 3!/3+3*333
1001#4 (4+√(√(4)^(4!)))/4-4!
1001#5 5/5+√(√√(5+5)^(5!/5))
1001#6 6/6+√((66-6)/6)^6
1001#7 (7+7)*77-77
1001#8 88/8+(88/8)!/(8!)
1001#9 (√9)!/√9+999
1002#1 1+1+(11-1)^(1+1+1)
1002#2 √(2)^(22-2)-22
1002#3 3+3*333
1002#4 √4+4*4^4-4!
1002#5 ((5+(5+5)/5)!-5)/5-5
1002#6 6!+√(6)^6+66
1002#7 (7+77*(7+7+77))/7
1002#8 (√(8)^8-88)/√(8+8)
1002#9 √9+999
1003#1 1+1+1+(11-1)^(1+1+1)
1003#2 (2+√(2)^22)/2-22
1003#3 3+((33-3)/3)^3
1003#4 4+(√(√(4)^(4!))-4)/4-4!
1003#5 (5+(5+5)/5)!/5-5
1003#6 6!+6/6+√(6)^6+66
1003#7 7!/7+7!/(7+7)-77
1003#8 8/8+(√(8)^8-88)/√(8+8)
1003#9 √9+(9+9/9)^√9
1004#1 (1+1)^(11-1)-(1+1)*(11-1)
1004#2 2+√(2)^(22-2)-22
1004#3 3+3!/3+3*333
1004#4 4*(4^4-4)-4
1004#5 5+(5-5/5)^5-5*5
1004#6 6!+√(6)^6+(6+6)/6+66
1004#7 7+7+(77/7)!/((7+7/7)!)
1004#8 √(8+8+8!+8!*(√(8+8))!)
1004#9 (9!+9!-(√9)!!)/((√9)!!)-√9
1005#1 (1+1+1)!+(11-1-1)*111
1005#2 2+(2+√(2)^22)/2-22
1005#3 3!+3*333
1005#4 4+(4+√(√(4)^(4!)))/4-4!
1005#5 5+√(√√(5+5)^(5!/5))
1005#6 6!+6*66-666/6
1005#7 (7+7)*√(7!+7/7)+77/7
1005#8 √(√8+√8)^8-88/8-8
1005#9 (√9)!+999
1006#1 (1+1+1)!+(11-1)^(1+1+1)
1006#2 (2+2)!*(2*22-2)-2
1006#3 3!+((33-3)/3)^3
1006#4 4*(4^4-4)-√4
1006#5 ((5+(5+5)/5)!-5-5)/5
1006#6 6+√((66-6)/6)^6
1006#7 (7+7)*77-7!/(77-7)
1006#8 8+8+(88/8)!/(8!)
1006#9 (√9)!+(9+9/9)^√9
1007#1 (11-1-1)*(1+111)-1
1007#2 (√(2)^22-2)/2-2^(2+2)
1007#3 (3!/(3!!/((3*3)!))-3)/3
1007#4 4*(4^4-4)-4/4
1007#5 ((5+(5+5)/5)!-5)/5
1007#6 6!+(√(6+6)^6-6)/6
1007#7 7!/7+7*(7*7-7)-7
1007#8 8*8+(8!-8)/8-√(8)^8
1007#9 (9!+9!-(√9)!!)/((√9)!!)
1008#1 (11-1-1)*(1+111)
1008#2 (2+2)!*(2*22-2)
1008#3 (3!+3!)^3-3!!
1008#4 4*(4^4-4)
1008#5 (5+(5+5)/5)!/5
1008#6 √(6+6)^6-6!
1008#7 7!/(7-(7+7)/7)
1008#8 (8!+8!)/(88-8)
1008#9 (9!+9!)/((√9)!!)
1009#1 (11111-1)/11-1
1009#2 (√(2)^22-22)/2-2-2
1009#3 (3+3!/(3!!/((3*3)!)))/3
1009#4 4/4+4*(4^4-4)
1009#5 (5+(5+(5+5)/5)!)/5
1009#6 6!+(6+√(6+6)^6)/6
1009#7 7/7+7!/(7-(7+7)/7)
1009#8 √(√(88/8)^8)+888
1009#9 (9!+(√9)!!+9!)/((√9)!!)
1010#1 (11111-1)/11
1010#2 2*(22+22^2)-2
1010#3 (3!+3!/(3!!/((3*3)!)))/3
1010#4 √4+4*(4^4-4)
1010#5 (5+5)*(5+5!-5!/5)
1010#6 6!+(6+6+√(6+6)^6)/6
1010#7 (77777-7)/77
1010#8 8+(√(8)^8-88)/√(8+8)
1010#9 (√9)!/√9+(9!+9!)/((√9)!!)
1011#1 11+(11-1)^(1+1+1)
1011#2 (√(2)^22-22)/2-2
1011#3 3+(3!+3!)^3-3!!
1011#4 (√(√(4)^(4!))+44)/4-4!
1011#5 √(√√(5+5)^(5!/5))+55/5
1011#6 66/6+√((66-6)/6)^6
1011#7 (√7+√7+√7)*((√7+√(7)^7)/7-√7)
1011#8 (88*(√(8+8)+88)-8)/8
1011#9 √9+(9!+9!)/((√9)!!)
1012#1 (1+1)^(11-1)-11-1
1012#2 2*(22+22^2)
1012#3 (3!!/3+(3!*3)^3)/(3!)
1012#4 4!*44-44
1012#5 5+((5+(5+5)/5)!-5)/5
1012#6 6+6+√((66-6)/6)^6
1012#7 (7+7-(7-7/7)/7)*77
1012#8 √(√8+√8)^8-√(8+8)-8
1012#9 √9+(9!+(√9)!!+9!)/((√9)!!)
1013#1 (1+1)^(11-1)-11
1013#2 (√(2)^22-22)/2
1013#3 3!!+333-3!!/(3!)/3
1013#4 (√(√(4)^(4!))-44)/4
1013#5 5+(5+(5+5)/5)!/5
1013#6 6+6!+(√(6+6)^6-6)/6
1013#7 (7!-7)/7+7*(7*7-7)
1013#8 √(√8+√8)^8-88/8
1013#9 (√9)!+(9!+9!-(√9)!!)/((√9)!!)
1014#1 1+(1+1)^(11-1)-11
1014#2 (2+√(2)^22-22)/2
1014#3 3!+(3!+3!)^3-3!!
1014#4 4*(4^4-√4)-√4
1014#5 (5-5/5)^5-5-5
1014#6 6+√(6+6)^6-6!
1014#7 7!/7+7*(7*7-7)
1014#8 (√(8)^8-8)/√(8+8)-8
1014#9 (√9)!+(9!+9!)/((√9)!!)
1015#1 1+1+(1+1)^(11-1)-11
1015#2 2+(√(2)^22-22)/2
1015#3 3*(3!+333)-3!/3
1015#4 4*(4^4-√4)-4/4
1015#5 (5!+5555)/5-5!
1015#6 6+6!+(6+√(6+6)^6)/6
1015#7 7+7!/(7-(7+7)/7)
1015#8 √(√8+√8)^8-8/8-8
1015#9 √(√√((√9)!/√9)^((√9)!!/9))-9
1016#1 (11-1-1)*(1+1+111)-1
1016#2 2*((2+2)!+22^2)
1016#3 3!!+(3!)^3+3!!/3/3
1016#4 4*(4^4-√4)
1016#5 5*5+5555/5-5!
1016#6 6!+(√6+√(√(6)^(-6)))*√(√6+√6)^6
1016#7 7+7/7+7!/(7-(7+7)/7)
1016#8 √(√8+√8)^8-8
1016#9 9!/((√9)!!)+((√9)!/√9)^9
1017#1 (11-1-1)*(1+1+111)
1017#2 2+2+(√(2)^22-22)/2
1017#3 3*(3!+333)
1017#4 (√(√(4)^(4!))-4!-4)/4
1017#5 (5-5/5)^5-(5+5)/5-5
1017#6 6!+(6*(6!-6)-6!)/(6+6)
1017#7 7!/(7+7+7)+777
1017#8 8/8+√(√8+√8)^8-8
1017#9 (√9)!!+√9*99
1018#1 (1+1)^(11-1)-(1+1+1)!
1018#2 √(2)^(22-2)-2-2-2
1018#3 √(√√(3!/3)^(3!!/3/3))-3!
1018#4 (√(√(4)^(4!))-4!)/4
1018#5 (5-5/5)^5-5/5-5
1018#6 √((6+6)/6)^(6!/6/6)-6
1018#7 7*7*(7+7+7)-77/7
1018#8 (8+√(8)^8)/√(8+8)-8
1018#9 9+(9!+(√9)!!+9!)/((√9)!!)
1019#1 (1+(1+1)^11-11)/(1+1)
1019#2 (√(2)^22-2)/2-2-2
1019#3 3!/3+3*(3!+333)
1019#4 (√(√(4)^(4!))-4)/4-4
1019#5 (5-5/5)^5-5
1019#6 6!+(√(6+6)^6+66)/6
1019#7 7!/(7-(7+7)/7)+77/7
1019#8 8!/(8+8)/8+8*88
1019#9 (9!+9!)/((√9)!!)+99/9
1020#1 (1+1)^(11-1)-1-1-1-1
1020#2 √(2)^(22-2)-2-2
1020#3 √((3!!+3!!)*(3!!+3)-3!!)
1020#4 4*4^4-4
1020#5 5!+5*(5+5!+55)
1020#6 √(6!*(6+6!+6!)-6!)
1020#7 √(7!+(7!+7!)*(7!-7)/7/7)
1020#8 √(√8+√8)^8-√(8+8)
1020#9 √9+(√9)!!+√9*99
1021#1 (1+1)^(11-1)-1-1-1
1021#2 (√(2)^22-2)/2-2
1021#3 √(√√(3!/3)^(3!!/3/3))-3
1021#4 (4+√(√(4)^(4!)))/4-4
1021#5 ((5!-5*5)*55-5!)/5
1021#6 6!+(6!+√(66-6)^6)/(6!)
1021#7 7+7!/7+7*(7*7-7)
1021#8 √(√8+√8)^8-√(8+8/8)
1021#9 √(√√((√9)!/√9)^((√9)!!/9))-√9
1022#1 (1+1)^(11-1)-1-1
