101#1 1111/11
101#2 2222/22
101#3 3!/3+3*33
101#4 (4+√(4!-4)^4)/4
101#5 5+5!-5!/5
101#6 (6+6!-6!/6)/6
101#7 7777/77
101#8 8888/88
101#9 (√9)!/√9+99
102#1 1+1111/11
102#2 2+((22-2)/2)^2
102#3 3+3*33
102#4 4+√4+4!*4
102#5 5+5!-(5!-5)/5
102#6 6*6+66
102#7 ((7!+7)/7-7)/7
102#8 (888-8)/8-8
102#9 √9+99
103#1 1+1+1111/11
103#2 2+2222/22
103#3 (3!!+3!)/(3!)-3!*3
103#4 4*(√4+4!)-4/4
103#5 (5!+5!)/5+55
103#6 (6!-66)/6-6
103#7 (7!+7)/7/7
103#8 888/8-8
103#9 √9+9/9+99
104#1 111-(1+1+1)!-1
104#2 2*2*(2+(2+2)!)
104#3 (3!!+(3!)^3)/3/3
104#4 4*(√4+4!)
104#5 5!-55/5-5
104#6 (666-6)/6-6
104#7 777/7-7
104#8 8+8+88
104#9 ((√9)!!+((√9)!)^√9)/9
105#1 111-(1+1+1)!
105#2 222/2-2-2-2
105#3 3!+3*33
105#4 (444-4!)/4
105#5 5!-5-5-5
105#6 666/6-6
105#7 7+7*(7+7)
105#8 8!/((√(8+8))!*(8+8))
105#9 (√9)!+99
106#1 1+111-(1+1+1)!
106#2 2+2*2*(2+(2+2)!)
106#3 3*3!*3!-3!/3
106#4 √4+4*(√4+4!)
106#5 555/5-5
106#6 6+(6!-6!/6)/6
106#7 7+7/7+7*(7+7)
106#8 8+8+√√(8+8)+88
106#9 (√9)!+9/9+99
107#1 111-1-1-1-1
107#2 222/2-2-2
107#3 3*3!*3!-3/3
107#4 444/4-4
107#5 5!-(5!-55)/5
107#6 (6!-6)/6-6-6
107#7 7+(777-77)/7
107#8 8+88+88/8
107#9 (√9)!!/9+√9*9
108#1 111-1-1-1
108#2 (222-2)/2-2
108#3 3*3!*3!
108#4 4*(4!+4)-4
108#5 5!-5!/(5+5)
108#6 6*(6+6+6)
108#7 7+7777/77
108#8 8+√(√(8+√√(8+8))^8)
108#9 9+99
109#1 111-1-1
109#2 222/2-2
109#3 (333-3!)/3
109#4 444/4-√4
109#5 5!-55/5
109#6 (6!-66)/6
109#7 (777-7-7)/7
109#8 √((8!+(8+√(8+8))!)/(8!))
109#9 9+9/9+99
110#1 111-1
110#2 (222-2)/2
110#3 (333-3)/3
110#4 4*(4!+4)-√4
110#5 5!-5-5
110#6 (666-6)/6
110#7 (777-7)/7
110#8 (888-8)/8
110#9 (99/9)!/(9!)
111#1 111
111#2 222/2
111#3 333/3
111#4 444/4
111#5 555/5
111#6 666/6
111#7 777/7
111#8 888/8
111#9 (√9)!!/((√9)!)-9
112#1 1+111
112#2 (2+222)/2
112#3 (3+333)/3
112#4 4*(4!+4)
112#5 (5+555)/5
112#6 (6+666)/6
112#7 (7+777)/7
112#8 (√(8+8))!+88
112#9 (9!+9!)/((√9)!!)/9
113#1 1+1+111
113#2 2+222/2
113#3 (3!!-3!)/(3!)-3!
113#4 √4+444/4
113#5 5!-(5+5)/5-5
113#6 (6!-6)/6-6
113#7 (7-(7+7)/7)!-7
113#8 √(√(88/8)^8)-8
113#9 ((√9)!!-(√9)!)/((√9)!)-(√9)!
114#1 1+1+1+111
114#2 2+(2+222)/2
114#3 3!!/(3!)-3!
114#4 √4+4*(4!+4)
114#5 5!-5/5-5
114#6 6!/6-6
114#7 ((7+7)/7)^7-7-7
114#8 ((√(8+8))!+888)/8
114#9 (√9)!!/((√9)!)-(√9)!
115#1 1+1+1+1+111
115#2 2+2+222/2
115#3 (3!!+3!)/(3!)-3!
115#4 4+444/4
115#5 5!-5
115#6 (6!+6)/6-6
115#7 (77+777)/7-7
115#8 √(8+8)+888/8
115#9 ((√9)!!+(√9)!)/((√9)!)-(√9)!
116#1 (1+1+1)!+111-1
116#2 (2+2+2/2)!-2-2
116#3 (3!!-3!)/(3!)-3
116#4 (4+4/4)!-4
