1151#1 (1+1)*((1+1+1+1)!)^(1+1)-1
1151#2 ((2*(2+2)!)^2-2)/2
1151#3 3!!+(3!*(3!)^3-3)/3
1151#4 √(4*(4!)^4)-4/4
1151#5 5/5+(5!-5)*(5+5)
1151#6 6!+6*(6+66)-6/6
1151#7 7+(7+7)!/(7!+7!+7!)/(7!)
1151#8 (√(√(8+88)^8)-8)/8
1151#9 ((√9)!*(√9+9)^√9-9)/9
1152#1 (1+1)*((1+1+1+1)!)^(1+1)
1152#2 2*((2+2)!)^2
1152#3 3!*(3!*33-3!)
1152#4 √(4*(4!)^4)
1152#5 5!*(5!+5!)/5/5
1152#6 6!+6*(6+66)
1152#7 (7+7/7)!/(7*7-7-7)
1152#8 (8+8)*(8+8*8)
1152#9 (√9+9)*(99-√9)
1153#1 1+(1+1)*((1+1+1+1)!)^(1+1)
1153#2 (2+(2*(2+2)!)^2)/2
1153#3 3!!+(3+3!*(3!)^3)/3
1153#4 4/4+√(4*(4!)^4)
1153#5 (5+5!*(5!+5!)/5)/5
1153#6 6!+6/6+6*(6+66)
1153#7 7*7+7777/7-7
1153#8 (8+√(√(8+88)^8))/8
1153#9 (9+(√9)!*(√9+9)^√9)/9
1154#1 11*(111-(1+1+1)!)-1
1154#2 2+2*((2+2)!)^2
1154#3 3!!+(3!+3!*(3!)^3)/3
1154#4 √4+√(4*(4!)^4)
1154#5 5!*5+555-5/5
1154#6 6!+(6+6)/6+6*(6+66)
1154#7 77+(7+7)*77-7/7
1154#8 (8+8+√(√(8+88)^8))/8
1154#9 (√9)!*(√9+(√9+9)^√9)/9
1155#1 11*(111-(1+1+1)!)
1155#2 2+(2+(2*(2+2)!)^2)/2
1155#3 33*(3!/3+33)
1155#4 4!*√4*(4!+√(4)^(-4))
1155#5 5!*5+555
1155#6 (√(6)^6-6)*66/(6+6)
1155#7 77+(7+7)*77
1155#8 ((√(8+8))!+√(√(8+88)^8))/8
1155#9 ((√9)!+9)*((√9)!!/9-√9)
1156#1 (1+(1+1+1)*11)^(1+1)
1156#2 2*(2+((2+2)!)^2)
1156#3 (3/3+33)^(3!/3)
1156#4 4+√(4*(4!)^4)
1156#5 5/5+5!*5+555
1156#6 ((6^6-6!)/6-6!)/6
1156#7 7/7+77+(7+7)*77
1156#8 √(√(√√(8+8)+8*√(8+8))^8)
1156#9 (√9+99)^((√9)!/√9)/9
1157#1 1+(1+(1+1+1)*11)^(1+1)
1157#2 2/2+2*(2+((2+2)!)^2)
1157#3 (3+3!!/(3^3))*(3!+33)
1157#4 (4+√(4!+44)^4)/4
1157#5 5+5!*(5!+5!)/5/5
1157#6 (6+(6^6-6!)/6-6!)/6
1157#7 7!/7+7!/(7+7)+77
1157#8 8+((8!+8!)/8-888)/8
1157#9 (√9)!!+((√9+9)!/(9!)-9)/√9
1158#1 1+1+(1+(1+1+1)*11)^(1+1)
1158#2 2+2*(2+((2+2)!)^2)
1158#3 3*(3!!-333)-3
1158#4 4+√4+√(4*(4!)^4)
1158#5 5+(5+5!*(5!+5!)/5)/5
1158#6 6+6!+6*(6+66)
1158#7 (7!+7)/7+7!/(7+7)+77
1158#8 8+8+(8!/8+√(8)^8)/8
1158#9 9*(9+(√9)!!/((√9)!))-√9
1159#1 (1+1)*(1+1+1+1)!+1111
1159#2 2*(2+2)!+2222/2
1159#3 3+(3/3+33)^(3!/3)
1159#4 √4*(4+√(4!)^4)-4/4
1159#5 (5!+5!+5555)/5
1159#6 (6^6/6-66-6!)/6-6
1159#7 7*7+(7777-7)/7
1159#8 8+(√(√(8+88)^8)-8)/8
1159#9 ((√9)!!+(√9)!!)/9+999
1160#1 (1+(1+1+1)!)^(1+1)+1111
1160#2 2*(2+2+((2+2)!)^2)
1160#3 3*3!!*(3/(3!)+3^(-3))
1160#4 √4*(4+√(4!)^4)
1160#5 5+5!*5+555
1160#6 6!+(6!+6!)*66/(√(6)^6)
1160#7 7*7+7777/7
1160#8 8+(8+8)*(8+8*8)
1160#9 (√9)!!*(9+(√9)!/9)/((√9)!)
1161#1 (1+1+1)!!+(11+11-1)^(1+1)
1161#2 ((2+2)!)^2*(2+√(√(2)^(-(2+2)!)))
1161#3 3*(3!!-333)
1161#4 √(4!)^4*(√4+√√(√(4)^(-4!)))
1161#5 (5!-5)*(5+5)+55/5
1161#6 6+(√(6)^6-6)*66/(6+6)
1161#7 7!/7+7*(77-7-7)
1161#8 8+(8+√(√(8+88)^8))/8
1161#9 9*(9+(√9)!!/((√9)!))
1162#1 11^(1+1+1)-(1+1+11)^(1+1)
1162#2 2+2*(2+2+((2+2)!)^2)
1162#3 3/3+3*(3!!-333)
1162#4 √4+√4*(4+√(4!)^4)
1162#5 (5+5)*(5!-(5!/5-5)/5)
1162#6 6+((6^6-6!)/6-6!)/6
1162#7 7+77+(7+7)*77
1162#8 √(8+√√(8+8))^8/8-88
1162#9 9/9+9*(9+(√9)!!/((√9)!))
1163#1 (1+1)*((1+1+1+1)!)^(1+1)+11
1163#2 ((2*(2+2)!)^2+22)/2
1163#3 3!/3+3*(3!!-333)
1163#4 √(4*(4!)^4)+44/4
1163#5 (5!*(5!+5!)/5+55)/5
1163#6 6!+66/6+6*(6+66)
1163#7 (7!*(7+7)-7!)/(7+7*7)-7
1163#8 (88+√(√(8+88)^8))/8
1163#9 (√9)!!+(9+(√9+9)!/(9!))/√9
1164#1 (1+1+1)!!+(1+1)*(1+1)*111
1164#2 (2+2+2)!+2*222
1164#3 3+3*(3!!-333)
1164#4 (4!/4)!+444
1164#5 5*(5!+5!-5)-55/5
1164#6 6*√(6)^6-(66+66)
1164#7 (7+7-7/(7*7))*(7+77)
1164#8 (8!+8!)/8/8-88-8
1164#9 √9+9*(9+(√9)!!/((√9)!))
1165#1 (11-1)*(11/(1+1)+111)
1165#2 2+((2*(2+2)!)^2+22)/2
1165#3 (3!!/(3!)+(3!*3-3)^3)/3
1165#4 (4!+√4+4*√(4!)^4)/√4
1165#5 5!+(5!/5-5)*55
1165#6 (6^6/6-66-6!)/6
1165#7 (7+7)*(7+77)-77/7
1165#8 (8+(8!+8!)/8)/8-88-8
1165#9 ((√9)!+9)*(((√9)!!+(√9)!)/9-√9)
1166#1 11*(1+111-(1+1+1)!)
1166#2 2+(2+2+2)!+2*222
1166#3 3!*(3!-3/(3^3))*33
1166#4 √4+(4!/4)!+444
1166#5 55+5555/5
1166#6 (6+6^6/6-66-6!)/6
1166#7 (7+7+(7+7/7)/7)*77
1166#8 (√(8)^8+√(8*(8!+8)))/√(8+8)
1166#9 (√9)!+(√9)!!*(9+(√9)!/9)/((√9)!)
1167#1 (1+111)/(1+1)+1111
1167#2 2*(2+((2+2)!)^2)+22/2
1167#3 3!*(3!*33-3)-3
1167#4 (√(√(4)^(4!))+√(4!)^4-4)/4
1167#5 55+(5+5555)/5
1167#6 6!+√(6)^6+(6!+666)/6
1167#7 7+7*7+7777/7
1167#8 8!/((√(8+8))!)-(8+√(8)^8)/8
1167#9 (√9)!+9*(9+(√9)!!/((√9)!))
1168#1 (1+1)^(11-1)+(1+11)^(1+1)
