1351#1 11*(1+11+111)-1-1
1351#2 ((2*(2+(2+2)!))^2-2)/2
1351#3 (3!!+3333)/3
1351#4 √(4*(√4+4!)^4)-4/4
1351#5 5*5*55-5!/5
1351#6 (6!+6!+6666)/6
1351#7 7+(7!+7!)/(7+7/(7+7))
1351#8 (√(√(8+8+88)^8)-8)/8
1351#9 (√9)!!+(√9)!!-(√9)!!/9-9
1352#1 11*(1+11+111)-1
1352#2 2*(2+(2+2)!)^2
1352#3 (3+3!!+3333)/3
1352#4 √(4*(√4+4!)^4)
1352#5 5*5*55-(5!-5)/5
1352#6 6*(6+(6!+6^6)/(√(6)^6))
1352#7 (7!+7!-77)/7-77
1352#8 √(√(8+8+88)^8)/8
1352#9 (9+9)^√9-9!/9/9
1353#1 11*(1+11+111)
1353#2 (2+(2*(2+(2+2)!))^2)/2
1353#3 3+3!*((3!)^3+3*3)
1353#4 4/4+√(4*(√4+4!)^4)
1353#5 (5*5-(5+5)/5/5)*55
1353#6 (6+6+6!+6)*66/6/6
1353#7 (7+7!+7!-77)/7-77
1353#8 (8+√(√(8+8+88)^8))/8
1353#9 √9+(√9)!*(9+((√9)!)^√9)
1354#1 1+11*(1+11+111)
1354#2 2+2*(2+(2+2)!)^2
1354#3 (3!*(3!!-3)-3!!/3)/3
1354#4 √4+√(4*(√4+4!)^4)
1354#5 5+5+(5!+5!*55)/5
1354#6 6!+6!-(6!/6/6+66)
1354#7 (7+7)*((7+(7!-7)/7)/7-7)
1354#8 (8+8+√(√(8+8+88)^8))/8
1354#9 (√9)!!+(√9)!!-(√9)!!/9-(√9)!
1355#1 11+(1+11)*(1+111)
1355#2 (2+2)!+√(√√(22/2)^((2+2)!))
1355#3 3^3+(33/3)^3-3
1355#4 4!+√(√√(44/4)^(4!))
1355#5 5+5*(5*55-5)
1355#6 6!+6!-(6+6!-√(6)^6)/6
1355#7 (7!+7!-7)/7-77-7
1355#8 (√(8+8))!+√(√√(88/8)^((√(8+8))!))
1355#9 (√9)!*(√9)!+((√9+9)!-9!)/(9!)
1356#1 (1+11)*(1+1+111)
1356#2 2*(2+(2+(2+2)!)^2)
1356#3 3!*((3!!-33)/3-3)
1356#4 4+√(4*(√4+4!)^4)
1356#5 5+5*5*55-5!/5
1356#6 6*√(6)^6+66-6
1356#7 (7!+7!)/7-77-7
1356#8 8+(8!+8!)/8/8+88
1356#9 9+√(9+(√9)!*9!-9!)
1357#1 1+(1+11)*(1+1+111)
1357#2 2/2+2*(2+(2+(2+2)!)^2)
1357#3 (3!!*3!-3!!/3)/3-3
1357#4 4!+√4+√(√√(44/4)^(4!))
1357#5 5+5*5*55-(5!-5)/5
1357#6 6!+6!-(6!-√(6)^6-6)/6
1357#7 7!/7+7*(7+7+77)
1357#8 (8*√(8)^8-8)/((√(8+8))!)-8
1357#9 (√9)!!+(√9)!!-(√9)!!/9-√9
1358#1 1+1+(1+11)*(1+1+111)
1358#2 2+2*(2+(2+(2+2)!)^2)
1358#3 3^3+(33/3)^3
1358#4 √(44)^4-√(4!)^4-√4
1358#5 5*5*55-5!/(5+5)-5
1358#6 6!+(6^6-6!)/(6+66)
1358#7 7*(7+7)*(7+7)-7-7
1358#8 8+8!/8/8+(8-√√(8+8))!
1358#9 √9*9+(99/9)^√9
1359#1 1+1+1+(1+11)*(1+1+111)
1359#2 (2*22)^2-((2+2)!)^2-2/2
1359#3 3!!+3*((3!)^3-3)
1359#4 4+4!+√(√√(44/4)^(4!))
1359#5 5*5*55-55/5-5
1359#6 √(6)^6*(6+(√(6)^6-6)/(6!))
1359#7 7+(7!+7!-77)/7-77
1359#8 √(√(88-8)^8)-(8!+8)/8
1359#9 (√9)!!+(√9)!!-9*9
1360#1 (1+1+1)!!*(1+1-1/(11-1-1))
1360#2 (2*22)^2-((2+2)!)^2
1360#3 (3!!*3!-3!!/3)/3
1360#4 √(44)^4-√(4!)^4
1360#5 5+5+5*(5*55-5)
1360#6 6*√(6)^6+((6+6)/6)^6
1360#7 (√√7+√√(7)^(-7))*(√√7+√√7)^7-7!
1360#8 √(√(88-8)^8)-8!/8
1360#9 (√9)!!+(√9)!!-(√9)!!/9
1361#1 11^(1+1+1)+(1+1+1)*(11-1)
1361#2 ((2+2*(2+2)!)^2+222)/2
1361#3 (3+3!!*3!-3!!/3)/3
1361#4 4/4+√(44)^4-√(4!)^4
1361#5 5!+((5!-5)*55-5!)/5
1361#6 6*6+√(66/6)^6-6
1361#7 (7!+7!-7-7)/7-77
1361#8 √(√(88-8)^8)-(8!-8)/8
1361#9 (√9)!!+(√9)!!-((√9)!!-9)/9
1362#1 11*(1+1+11+111)-1-1
1362#2 (√(√(2)^((2+2)!))-2)*22-2
1362#3 3!!+3*(3!)^3-3!
1362#4 √4+√(44)^4-√(4!)^4
1362#5 5*5*55-(5!-55)/5
1362#6 6*√(6)^6+66
1362#7 (7!+7!-7)/7-77
1362#8 8*(8+(8!/(√(8)^8)-8)*88)
1362#9 √9+(√9)!!+(√9)!!-9*9
1363#1 11*(1+1+11+111)-1
1363#2 ((2*(2+(2+2)!))^2+22)/2
1363#3 3+(3!!*3!-3!!/3)/3
1363#4 (√4-√(√(4!)^(-4)))*((4!/4)!-4!)
1363#5 5*5*55-5!/(5+5)
1363#6 6/6+6*√(6)^6+66
1363#7 (7!+7!)/7-77
1363#8 (8+8*(√(8)^8-8))/((√(8+8))!)
1363#9 √9+(√9)!!+(√9)!!-(√9)!!/9
1364#1 11*(1+1+11+111)
1364#2 (√(√(2)^((2+2)!))-2)*22
1364#3 33+(33/3)^3
1364#4 (4!-√4)*(√√(√(4)^(4!))-√4)
1364#5 5*5*55-55/5
1364#6 (6+6)/6+6*√(6)^6+66
1364#7 (7+7!+7!)/7-77
1364#8 (8+8-8/(8+8))*88
1364#9 ((√9)!+9!/(((√9)!)^((√9)!)))*99
1365#1 ((1+1)^(1+11)-1)/(1+1+1)
1365#2 (√(2)^(2+(2+2)!)-2)/(2+2+2)
1365#3 3!!+3*(3!)^3-3
1365#4 √(4!+(√4+4!)/√4)^4-4
1365#5 5*5*55-5-5
1365#6 (√(6)^6-6)*(6+6/(6+6))
1365#7 7*(7+7)*(7+7)-7
1365#8 (8*√(8)^8-8)/((√(8+8))!)
1365#9 ((√9)!!+((√9)!+9)^√9)/√9
1366#1 (1+(1+1)^11)/(1+1/(1+1))
