1401#1 1+(1+1+1+11)*(111-11)
1401#2 2+(((2+2)!)^2+2222)/2
1401#3 3!*(3!!/3-3!)-3
1401#4 (√4*√((4!+4)!+4!!)-√(4!!))/√(4!!)
1401#5 5/5+5*(5+5*55)
1401#6 6!+6!-6*(6+6/(6+6))
1401#7 77/((7/(7+7))^7)/7-7
1401#8 (8+√(8)^8)/8+888
1401#9 9*9+(√9+9)!/(9!)
1402#1 √(1+(1+(1+1+1)!)!)+11^(1+1+1)
1402#2 2+2*(2+(2+2+2)!-22)
1402#3 3!*((3!!-3/3)/3-3!)
1402#4 √(4+4/((4!)!/(4!+4)!))
1402#5 (5+5)/5+5*(5+5*55)
1402#6 6+(6!+(6^6-6!)/6)/6
1402#7 (7!+7!+77)/7-7*7
1402#8 √√(8+8)+(8+8)*88-8
1402#9 9*9+(9!+(√9+9)!)/(9!)
1403#1 (1/(1+1)+11)*(11+111)
1403#2 √(√(2)^((2+2)!))*22-2/2-2-2
1403#3 (3!*(3!!-3!*3)-3)/3
1403#4 (√4*√((4!+4)!+4!!)+√(4!!))/√(4!!)
1403#5 (5!*5!-5!)/(5+5)-5*5
1403#6 6!+6!-(6+√(6)^6)/6
1403#7 (7+7!+7!+77)/7-7*7
1403#8 √(8+8/8)+(8+8)*88-8
1403#9 ((√9)!/√9)^9+9*99
1404#1 (1+11)*((1+1+1)!+111)
1404#2 √(√(2)^((2+2)!))*22-2-2
1404#3 3!*(3!!/3-3!)
1404#4 (4!-√4)*√√(√(4)^(4!))-4
1404#5 5+5!/5+5*5*55
1404#6 6!+6!-6*6
1404#7 (7!+(√7+√7)*(√(7)^7-√7))/7
1404#8 (8+8)*88-√(8+8)
1404#9 (√9)!*((√9)!!/√9-(√9)!)
1405#1 1+(1+11)*((1+1+1)!+111)
1405#2 √(√(2)^((2+2)!))*22-2/2-2
1405#3 (3!!*3!-3!)/3-33
1405#4 (4^4*44-4!)/(4+4)
1405#5 5+5*(5+5*55)
1405#6 6!+6!-(√(6)^6-6)/6
1405#7 (7!-7)/7+7*7*(7+7)
1405#8 (8+8)*88-√(8+8/8)
1405#9 ((√9)!+9)*99-(√9)!!/9
1406#1 (1+1)*(11*√(1+1)^(1+11)-1)
1406#2 √(√(2)^((2+2)!))*22-2
1406#3 (3!!*3!-3)/3-33
1406#4 (4!-√4)*√√(√(4)^(4!))-√4
1406#5 ((5+5!+5)*55-5!)/5
1406#6 6!+6!/6/6+666
1406#7 7!/7+7*7*(7+7)
1406#8 (8+8)*88-√√(8+8)
1406#9 ((√9)!!*(√9)!-99-√9)/√9
1407#1 (1+1)^(1+(1+1+1)!)*11-1
1407#2 √(√(2)^((2+2)!))*22-2/2
1407#3 3!!+3!!-33
1407#4 ((4!-√4)*4^4-4)/4
1407#5 ((5+5)/5)^5+5*5*55
1407#6 (6^6/6+666)/6
1407#7 7!/(7+7/7)+777
1407#8 (8+8)*88-8/8
1407#9 ((√9)!!*(√9)!-99)/√9
1408#1 (1+1)^(1+(1+1+1)!)*11
1408#2 √(√(2)^((2+2)!))*22
1408#3 (3+3!!*3!)/3-33
1408#4 (4!-√4)*√√(√(4)^(4!))
1408#5 (5!+5!/(5+5+5))*55/5
1408#6 ((6!-6)*(6+6)-6!/6)/6
1408#7 77/((7/(7+7))^7)/7
1408#8 (8+8)*88
1408#9 (√9+(√9)!!*(√9)!-99)/√9
1409#1 1+(1+1)^(1+(1+1+1)!)*11
1409#2 2/2+√(√(2)^((2+2)!))*22
1409#3 (3!+3!!*3!)/3-33
1409#4 (4+(4!-√4)*4^4)/4
1409#5 5!+(5!+(5!-5)*55)/5
1409#6 (6!+6^6/6-6)/6-6
1409#7 (7+77/((7/(7+7))^7))/7
1409#8 8/8+(8+8)*88
1409#9 9+(√9)!!/9+(√9+9)!/(9!)
1410#1 (1+1)*(1+11*√(1+1)^(1+11))
1410#2 2+√(√(2)^((2+2)!))*22
1410#3 3+3!!+3!!-33
1410#4 √4+(4!-√4)*√√(√(4)^(4!))
1410#5 (5!+5!-5)*(5+5/5)
1410#6 6+6!+6!-6*6
1410#7 ((7+7+7)/7)^7-777
1410#8 √√(8+8)+(8+8)*88
1410#9 (√9)!*((√9)!!-(√9)!-9)/√9
1411#1 1+(1+1)*(1+11*√(1+1)^(1+11))
1411#2 2+2/2+√(√(2)^((2+2)!))*22
1411#3 (3!+(3!)^(3!))/33-3
1411#4 (4!+4^4*44)/(4+4)
1411#5 (5!*(5+55)-5!)/5-5
