1451#1 (1+1)*(1+1+1)!!+11
1451#2 2*(2+2+2)!+22/2
1451#3 (3!!*3!+33)/3
1451#4 √4*(4!/4)!+44/4
1451#5 5!+√(√√(55/5)^(5!/5))
1451#6 6!+6!+66/6
1451#7 (7!+7!+77)/7
1451#8 ((8!+8!)/(8-8/8)+88)/8
1451#9 (√9)!!+(√9)!!+99/9
1452#1 11*11*(1+11)
1452#2 (2+2/2)*22^2
1452#3 3+3!!+3^(3!)
1452#4 4+√4*(4+(4!/4)!)
1452#5 (5!+5!*5!)/(5+5)
1452#6 6+6+6!+6!
1452#7 (7+7!+7!+77)/7
1452#8 (8+8+8/(8+8))*88
1452#9 √9+(√9)!!+9^√9
1453#1 1+11*11*(1+11)
1453#2 (2+(2+2+2)*22^2)/2
1453#3 (3+3!*(3!!+3!))/3
1453#4 (4!+√4+4*(4!/4)!)/√4
1453#5 (5+5+5!+5!*5!)/(5+5)
1453#6 (6+(6!+6)*(6+6))/6
1453#7 7+7+(7!+7!-7)/7
1453#8 (8*√(8)^8-8)/((√(8+8))!)+88
1453#9 (√9+(√9)!*((√9)!!+(√9)!))/√9
1454#1 11+(1+1+11)*111
1454#2 2+(2+2/2)*22^2
1454#3 (3!+3!*(3!!+3!))/3
1454#4 √(4*√(4-4/4)^(4!))-4
1454#5 (5!+(5+5!+5)*55)/5
1454#6 6!+6!+6!/6/6-6
1454#7 7+7+(7!+7!)/7
1454#8 (8!-8!/8)/((√(8+8))!)-8-8
1454#9 ((√9)!+(√9)!*((√9)!!+(√9)!))/√9
1455#1 (1+1+11)*(1+111)-1
1455#2 (2+2/2)*(2/2+22^2)
1455#3 3!+3!!+3^(3!)
1455#4 (4!/4)!*(√4+√4/(4!)/4)
1455#5 5+(5+5)*(5!+5*5)
1455#6 6+6!+((6+6+6)/6)^6
1455#7 7+7+(7+7!+7!)/7
1455#8 (8!+√(8)^8-8)/8-√(8)^8
1455#9 (√9)!+(√9)!!+9^√9
1456#1 (1+1+11)*(1+111)
1456#2 2*(2*(2+2)+(2+2+2)!)
1456#3 (3!*3^(3!)-3!)/3
1456#4 4*(4+(4!/4)!/√4)
1456#5 5+5!+√(√√(55/5)^(5!/5))
1456#6 6+6!+6!+(66-6)/6
1456#7 (7+7)*(777/7-7)
1456#8 √(8*(8!+8))+888
1456#9 ((√9)!*9^√9-(√9)!)/√9
1457#1 1+(1+1+11)*(1+111)
1457#2 (√(√(√√2+√√2*2)^((2+2)!))-√2)/√2
1457#3 (3!*3^(3!)-3)/3
1457#4 (√(√√(√4+4*4)^(4!))-4)/4
1457#5 5+(5!+5!*5!)/(5+5)
1457#6 6+6!+6!+66/6
1457#7 7+(7!+7!+77-7)/7
1457#8 (8+8!+√(8)^8)/8-√(8)^8
1457#9 ((√9)!*9^√9-√9)/√9
1458#1 (1+1)*√(1+1+1)^(1+11)
1458#2 2*√(√(2+2/2)^((2+2)!))
1458#3 3!*3^(3!)/3
1458#4 √(4*√(4-4/4)^(4!))
1458#5 (5+5/5)/((5/(5+5+5))^5)
1458#6 6+6+6+6!+6!
1458#7 7+(7!+7!+77)/7
1458#8 8*√(√(8+88/(8+8))^8)
1458#9 9*9*(9+9)
1459#1 1+(1+1)*√(1+1+1)^(1+11)
1459#2 (√2+√(√(√√2+√√2*2)^((2+2)!)))/√2
1459#3 (3+3!*3^(3!))/3
1459#4 (4+√(√√(√4+4*4)^(4!)))/4
1459#5 (5!+5!*(5+55))/5-5
1459#6 6!+6!+(6!/6-6)/6
1459#7 7+(7+7!+7!+77)/7
1459#8 (8!+√(8)^8+(√(8+8))!)/8-√(8)^8
1459#9 (√9+(√9)!*9^√9)/√9
1460#1 (1+1)*((1+1+1)!!+11-1)
1460#2 2*(2+2+2)!+22-2
1460#3 (3!+3!*3^(3!))/3
1460#4 4!+√4*(4!/4)!-4
1460#5 5+5+(5+5)*(5!+5*5)
1460#6 6!+6!+6!/6/6
1460#7 7+7+7+(7!+7!-7)/7
1460#8 8+(8+8+8/(8+8))*88
1460#9 ((√9)!+(√9)!*9^√9)/√9
1461#1 (1+1)*((1+1+1)!!+11)-1
1461#2 2*(2+2+2)!+22-2/2
1461#3 3+3!*3^(3!)/3
1461#4 (4!/4)!*(√4+√(4)^(-4))-4!
1461#5 (5+5)*(5!+5*5)+55/5
1461#6 6!+6!+(6+6!/6)/6
1461#7 7+7+7+(7!+7!)/7
1461#8 (8+√(8+8))!/(8!)/8-(√(8+8))!
1461#9 √9+9*9*(9+9)
1462#1 (1+1)*((1+1+1)!!+11)
1462#2 2*(2+2+2)!+22
1462#3 3+(3+3!*3^(3!))/3
1462#4 4!+√4*(4!/4)!-√4
1462#5 5+5+(5!+5!*5!)/(5+5)
1462#6 (6+6)*(6!+66/6)/6
1462#7 (7+7)*(7!+77)/7/7
1462#8 (8!-8!/8)/((√(8+8))!)-8
1462#9 (√9)!*((√9)!+√(9)^9/9)/9
1463#1 11*(1+11*(1+11))
1463#2 2/2+2*(2+2+2)!+22
1463#3 (3!*(3+3^(3!))-3)/3
1463#4 4!+√4*(4!/4)!-4/4
1463#5 (5!+5!*(5+55)-5)/5
1463#6 ((6!+6)*(6+6)+66)/6
