151#1 1+(1+1+1)!+(1+11)^(1+1)
151#2 2*(22-2)+222/2
151#3 3!*3^3-33/3
151#4 (4+4!+√(4!)^4)/4
151#5 5!+55-5!/5
151#6 6/6+√(6)^6-66
151#7 7+7!/(7*7-7-7)
151#8 8*8+88-8/8
151#9 ((√9)!!+(√9)!!)/9-9
152#1 11*(1+1+1+11)-1-1
152#2 (2+2)!+2*√(√(2)^((2+2)!))
152#3 (3!!/3+(3!)^3)/3
152#4 4*44-4!
152#5 5!+((5+5)/5)^5
152#6 √(6)^6-((6+6)/6)^6
152#7 7*7+(7!+7)/7/7
152#8 8*8+88
152#9 (√9)!!/9+9*9-9
153#1 11*(1+1+1+11)-1
153#2 2*22+222/2-2
153#3 3!!/(3!)+33
153#4 4!+(√4+4^4)/√4
153#5 5+5+5!+(5!-5)/5
153#6 ((6+6)!/(6!)/(6!)-6)/6
153#7 77+77-7/7
153#8 8*8+8/8+88
153#9 9*(9+9)-9
154#1 11*(1+1+1+11)
154#2 2*2*2*22-22
154#3 (3!!+3!)/(3!)+33
154#4 (4-√4/4)*44
154#5 5+5+5!+5!/5
154#6 (6+6)!/(6!)/(6!)/6
154#7 77+77
154#8 √√(8+8)+8*8+88
154#9 ((√9)!!+(√9)!!)/9-(√9)!
155#1 11+(1+11)^(1+1)
155#2 2*22+222/2
155#3 (3!!+(3!)^3-3!)/(3!)
155#4 (√(4!)^4+44)/4
155#5 5*55-5!
155#6 (6!+√(6)^6-6)/6
155#7 7/7+77+77
155#8 8*8+√(8+8/8)+88
155#9 9!/((√9)!!)/9+99
156#1 (1+1+11)!/(11!)
156#2 (2+(2+2)!)*(2+2+2)
156#3 3!*3^3-3!
156#4 4!*(√4+4!)/4
156#5 (5^5-5)/(5*5-5)
156#6 (6!+√(6)^6)/6
156#7 (7+7)/7+77+77
156#8 √(8+8)+8*8+88
156#9 9*(9+9)-(√9)!
157#1 1+(1+1+11)!/(11!)
157#2 2+2*22+222/2
157#3 3!*3!!/(3^3)-3
157#4 (4+4!*(√4+4!))/4
157#5 5+5!+((5+5)/5)^5
157#6 (6+6!+√(6)^6)/6
157#7 77+7!/(77-7-7)
157#8 (8!/(8+8)-8)/(8+8)
157#9 ((√9)!!+(√9)!!)/9-√9
158#1 (1+1+11)^(1+1)-11
158#2 222-√(√(2)^((2+2)!))
158#3 ((3!!+3!!)/3-3!)/3
158#4 4*(44-4)-√4
