1601#1 1+((1+1)*(1+1)*(11-1))^(1+1)
1601#2 2/2+(2*(22-2))^2
1601#3 (3!*(3!!+3*3^3)-3)/3
1601#4 4/4+√(44-4)^4
1601#5 (5+√(√(√5+√5)^(5!/5)))/5
1601#6 √(6+6)^6-(6!+6)/6-6
1601#7 7!-(7+7)!/(7!)/(7!)-7
1601#8 8/8+√(√(8+8*√(8+8))^8)
1601#9 ((√9)!*((√9)!!+9*9)-√9)/√9
1602#1 1+1+((1+1)*(1+1)*(11-1))^(1+1)
1602#2 2+(2*(22-2))^2
1602#3 3!*(3!!/3+3^3)
1602#4 √4+√(44-4)^4
1602#5 (5+5+√(√(√5+√5)^(5!/5)))/5
1602#6 6!+√(6)^6+666
1602#7 7!/7+7*(7*7+77)
1602#8 (8+√(√(88-8)^8))/√(8+8)
1602#9 (√9)!!+9*99-9
1603#1 (1+1)^11-(1+1)*(1+1)*111-1
1603#2 2+2/2+(2*(22-2))^2
1603#3 3+(3!!/(3!)/3)^(3!/3)
1603#4 4+√(44-4)^4-4/4
1603#5 √(√√(5!/(5+5))^(5!/5))-5!-5
1603#6 √(6+6)^6-√(6-6/6)^6
1603#7 (7+7+7)*77-7-7
1603#8 8*(8+(√(8+8))!*(8+√(√(8)^(-8))))
1603#9 √9+((√9)!!/(9+9))^((√9)!/√9)
1604#1 (1+1)^11-(1+1)*(1+1)*111
1604#2 √(2)^22-2*222
1604#3 3!*(3^3+(3!!+3/3)/3)
1604#4 4+√(44-4)^4
1604#5 5+(√(√(√5+√5)^(5!/5))-5)/5
1604#6 (6!/6+(√6+√6)^6)/6-6!
1604#7 √(7*7^7)-77-7!/7
1604#8 (√(8)^8-888)/√√(8+8)
1604#9 ((√9)!+(√9)!*((√9)!!+9*9))/√9
1605#1 11*(1+1+(1+11)^(1+1))-1
1605#2 2/2+√(2)^22-2*222
1605#3 3!!+3^3*33-3!
1605#4 4!*(4!+√(√√(4-√4/4)^(4!)))
1605#5 (5!-5)*(5+5+5)-5!
1605#6 √(6+6)^6-(6+6+6!+6)/6
1605#7 77+(7+7^7/7)/77
1605#8 8+(8!/8+√(√(88)^8)-8)/8
1605#9 (√9)!!+9*99-(√9)!
1606#1 11*(1+1+(1+11)^(1+1))
1606#2 2+√(2)^22-2*222
1606#3 3!+(3!!/(3!)/3)^(3!/3)
1606#4 4+√4+√(44-4)^4
1606#5 (5+(5!+5/5)/5)*55
1606#6 √(6+6)^6-(6+6!+6)/6
1606#7 7!-(7!+7!+(7+7)!/(7!))/(7!)
1606#8 8+(8!/8+√(√(88)^8))/8
1606#9 (√9)!+((√9)!!/(9+9))^((√9)!/√9)
1607#1 (1+11)^(1+1+1)-11*11
1607#2 √(2)^22-(22-2/2)^2
1607#3 (3!+3!)^3-(3!!+3!)/(3!)
1607#4 (4!+4)/4+√(44-4)^4
1607#5 (5!*(5!/(5+5)+55)-5)/5
1607#6 √(6+6)^6-(6!+6)/6
1607#7 7!-(7!+(7+7)!/(7!))/(7!)
1607#8 √((8!+8)/8)+8*8*(√(8+8))!
1607#9 ((√9)!!+9!)/(9+((√9)!)^√9)-9
1608#1 (1+11)*(1+1+11*(1+11))
1608#2 2*2*(2+(22-2)^2)
1608#3 (3!+3!)^3-3!!/(3!)
1608#4 4*(√4+√(4!-4)^4)
1608#5 √(√√(5!/(5+5))^(5!/5))-5!
1608#6 √(6+6)^6-6!/6
1608#7 7!-(7+7)!/(7!)/(7!)
1608#8 (8-√√(8+8))!+888
1608#9 (√9)!!+9*99-√9
1609#1 1+(1+11)*(1+1+11*(1+11))
1609#2 22/2+(2*(22-2))^2-2
1609#3 (3!+3!)^3-(3!!-3!)/(3!)
1609#4 4/4+4*(√4+√(4!-4)^4)
1609#5 (5+5!*(5!/(5+5)+55))/5
1609#6 √(6+6)^6-(6!-6)/6
1609#7 7!-((7+7)!/(7!)-7!)/(7!)
1609#8 8!/((√(8+8))!)-√((8!+8)/8)
1609#9 (√9)!!+9*99-(√9)!/√9
1610#1 (√(1+(1+(1+1+1)!)!)-1)*(1+11+11)
1610#2 2+2*2*(2+(22-2)^2)
1610#3 3!!+3^3*33-3/3
1610#4 √4+4*(√4+√(4!-4)^4)
1610#5 (5!-5)*(5!/5-5-5)
1610#6 √(6+6)^6-(6!-6-6)/6
1610#7 (7+7+7)*77-7
1610#8 (8!-8!/((√(8+8))!))/((√(8+8))!)
1610#9 (√9)!!+9*99-9/9
1611#1 11+((1+1)*(1+1)*(11-1))^(1+1)
1611#2 22/2+(2*(22-2))^2
1611#3 3!!+3^3*33
1611#4 (√(4!)/4)^4*((4!/4)!-4)
1611#5 (√(√(√5+√5)^(5!/5))+55)/5
1611#6 √(6+6)^6-666/6-6
1611#7 7/7+(7+7+7)*77-7
1611#8 √(√(8+8*√(8+8))^8)+88/8
1611#9 (√9)!!+9*99
1612#1 (1+1+11)*(1+1+11+111)
1612#2 (2+(2+2)!)*(√(√(2)^((2+2)!))-2)
1612#3 3!!+3/3+3^3*33
1612#4 (√4+4!)*(√√(√(4)^(4!))-√4)
1612#5 (5*5-5/(5*5))*(5!-55)
1612#6 6+√(6+6)^6-(6+6!+6)/6
1612#7 (7!+7!)/7+(√7+√(7)^7)/(√7+√7)
1612#8 8!/((√(8+8))!)-8*8-√(8+8)
1612#9 (√9)!!+9/9+9*99
1613#1 1+(1+1+11)*(1+1+11+111)
1613#2 2+22/2+(2*(22-2))^2
1613#3 3!!+3!/3+3^3*33
1613#4 (√4+4!)/√4+√(44-4)^4
1613#5 (5+(5!/(5+5+5))!)/5/5
1613#6 6+√(6+6)^6-(6!+6)/6
1613#7 7*7*77-(7!+7!+7!)/7
1613#8 8*(((8!-8)/8-8)/((√(8+8))!)-8)
1613#9 (√9)!!+(√9)!/√9+9*99
1614#1 (1+11)^(1+1+1)-111-1-1-1
1614#2 2+(2+(2+2)!)*(√(√(2)^((2+2)!))-2)
1614#3 3+3!!+3^3*33
1614#4 4*(4+√(4!-4)^4)-√4
1614#5 5*5*(5!-55)-55/5
1614#6 6+√(6+6)^6-6!/6
1614#7 7+7!-(7!+(7+7)!/(7!))/(7!)
1614#8 8!/((√(8+8))!)-8*8-√√(8+8)
1614#9 √9+(√9)!!+9*99
1615#1 (1+11)^(1+1+1)-111-1-1
1615#2 (2+2)!*(2-2^(-2))^2*22-2
1615#3 (3+3!!+3!*(3!!-33))/3
1615#4 (4!-√(√(4)^(-4)))*(4!+44)
1615#5 5!+5!+5*5*55
1615#6 6+√(6+6)^6-(6!-6)/6
1615#7 7+7!-(7+7)!/(7!)/(7!)
1615#8 8!/((√(8+8))!)-8/8-8*8
1615#9 ((√9)!!+(√((√9)!)+√((√9)!))^((√9)!)-9)/9
1616#1 (1+11)^(1+1+1)-111-1
1616#2 2*2*(2+2+(22-2)^2)
1616#3 (3!!+(√(3!)+√(3!))^(3!))/3/3
1616#4 4*(4+√(4!-4)^4)
1616#5 (5^5+5555)/5-5!
1616#6 √(6+6)^6-(6+666)/6
1616#7 (7!+√√7*(√√7+√√7)^7)/7
1616#8 8!/((√(8+8))!)-8*8
1616#9 ((√9)!!+9!)/(9+((√9)!)^√9)
1617#1 (1+11)^(1+1+1)-111
1617#2 (2+2)!*(2-2^(-2))^2*22
1617#3 3!+3!!+3^3*33
1617#4 (√4+√(4)^(-4))*√(4!+4)^4
1617#5 (5*5^5-5)/(5+5)+55
1617#6 √(6+6)^6-666/6
1617#7 (7+7+7)*77
1617#8 8/8+8!/((√(8+8))!)-8*8
1617#9 (√9)!+(√9)!!+9*99
1618#1 1+(1+11)^(1+1+1)-111
1618#2 (2+2^(-2))*(2+2+2)!-2
1618#3 3!*(3^(3!)+3!!/3/3)/3
1618#4 √4+4*(4+√(4!-4)^4)
1618#5 (5*5^5+555)/(5+5)
1618#6 √(6+6)^6-(666-6)/6
1618#7 7/7+(7+7+7)*77
1618#8 √√(8+8)+8!/((√(8+8))!)-8*8
1618#9 (√9)!*((√9)!!/9+9^√9)/√9
1619#1 (1+1+1)!!*(1+1/(1+1))^(1+1)-1
1619#2 (2+2^(-2))*(2+2+2)!-2/2
1619#3 3!!/((3!+3!)/(3^3))-3/3
1619#4 4+(4!-√(√(4)^(-4)))*(4!+44)
1619#5 5!*5+(5-5/5)^5-5
1619#6 √(6+6)^6-(6!-66)/6
1619#7 (7+7)/7+(7+7+7)*77
1619#8 (8!/8-8)/8+(88/8)!/(8!)
1619#9 √9+((√9)!!+9!)/(9+((√9)!)^√9)
1620#1 (1+1+1)!!*(1+1/(1+1))^(1+1)
1620#2 (2+2^(-2))*(2+2+2)!
1620#3 3!!/((3!+3!)/(3^3))
1620#4 (4!/4)!*(√(4!)/4)^4
1620#5 5*5*(5!-55)-5
1620#6 6/(6/(6!)-√(6)^(-6))
1620#7 (7+7+7)*(7/(7*7)+77)
1620#8 8!/8/8+(88/8)!/(8!)
1620#9 9*(9*9+99)
1621#1 1+(1+1+1)!!*(1+1/(1+1))^(1+1)
1621#2 2/2+(2+2^(-2))*(2+2+2)!
1621#3 3/3+3!!/((3!+3!)/(3^3))
1621#4 √(√√((√4+4!)/√4)^(4!))-√(4!)^4
1621#5 (5!+(√5+√5*5)^5/√5)/(5!)
1621#6 6/6+6/(6/(6!)-√(6)^(-6))
1621#7 (7!+7!+7!)/7-7*77
