1651#1 (1+1)*((1+1+1)!!+111)-11
1651#2 (2+(2+2)!)*(√(√(2)^((2+2)!))-√(2)^(-2))
1651#3 3+3!!*3-((3!/3)^3)^3
1651#4 (√4+4!)*(4^4-√4)/4
1651#5 5/5+(5+5*5)*55
1651#6 6!+6!+√(6)^6+6/6-6
1651#7 7+(7!+77*(7+77))/7
1651#8 8+(8!-888)/((√(8+8))!)
1651#9 √9+(√9+9)^√9-(√9)!!/9
1652#1 (1+1)^11-((1+1+1)!)^(1+1)*11
1652#2 √(2)^22-22*(22-2-2)
1652#3 ((3!+3/3)!-3)/3-3^3
1652#4 (4+4)!/(4!)-4!-4
1652#5 (5+5)/5+(5+5*5)*55
1652#6 (6+6*6)*(6*6+6!/(√(6)^6))
1652#7 (7+7)*(7+777/7)
1652#8 8!/((√(8+8))!)-(√(8+8))!-√(8+8)
1652#9 (√9-(√9)!/9)*((√9)!!-√9-9)
1653#1 (1+1)*(1+(1+1+1)!!+111)-11
1653#2 (2*22-2)^2-222/2
1653#3 3!!+3!!+(3!)^3-3
1653#4 (4!+(4+4)!)/(4!)-4!-4
1653#5 (5+5!/5)*((5+5)/5+55)
1653#6 6*(√(6)^6+(6!-6)/(6+6))
1653#7 (7+(7+7)*(7*7+777))/7
1653#8 ((8!+√(8+8)^8)/8-8)/8
1653#9 9!/(((√9)!)^√9)-√9*9
1654#1 (1+1/(1+1))*(1111-1)-11
1654#2 (2+2/2)*((2+2)!)!/22!-2
1654#3 (3!)^3+(3!!*3!-3!)/3
1654#4 (4+4)!/(4!)-√4-4!
1654#5 5+(5+5*5)*55-5/5
1654#6 6!+6!+√(6)^6-(6+6)/6
1654#7 (7*(7!-77)-7)/(7+7+7)
1654#8 (8!+√(8+8)^8)/8/8
1654#9 (√9+9!)/(√9+((√9)!)^√9)-√9
1655#1 (11-1)*((1+1/(1+1))*111-1)
1655#2 ((2+2+2)*((2+2)!)!/22!-2)/2
1655#3 (3!)^3+(3!!*3!-3)/3
1655#4 ((4+4)!-4!)/(4!)-4!
1655#5 5+(5+5*5)*55
1655#6 6!+6!+√(6)^6-6/6
1655#7 (7!+77+77*(7+77))/7
1655#8 (8+(8!+√(8+8)^8)/8)/8
1655#9 (√9)!!*√9-((√9)!!+9!)/((√9)!!)
1656#1 (1/(1+1)+11)*(1+11)^(1+1)
1656#2 (2+2/2)*((2+2)!)!/22!
1656#3 3!!+3!!+(3!)^3
1656#4 (4+4)!/(4!)-4!
1656#5 5!*(5+5+(5!/5-5)/5)
1656#6 6!+6!+√(6)^6
1656#7 7!-((7!+(7+7)!/(7!))/(7!)-7*7)
1656#8 8!/((√(8+8))!)-(√(8+8))!
1656#9 (√9)!!*√9-9!/((√9)!!)
1657#1 (1+1/(1+1))*(1+1111)-11
1657#2 (2*22-2/2-2)^2-(2+2)!
1657#3 (3+(3*3)!)/(3+(3!)^3)
1657#4 (4!+(4+4)!)/(4!)-4!
1657#5 (5!+5^5+(5+(5+5)/5)!)/5
1657#6 6!+6!+√(6)^6+6/6
1657#7 7!-((7+7)!/(7!)/(7!)-7*7)
1657#8 8/8+8!/((√(8+8))!)-(√(8+8))!
1657#9 (√9+9!)/(√9+((√9)!)^√9)
1658#1 (1+1)*((1+1+1)!!+111-1-1)
1658#2 (2*(2+2))!/((2+2)!)-22
1658#3 (3!)^3+(3!+3!!*3!)/3
1658#4 √4+(4+4)!/(4!)-4!
1658#5 5+(5+5!/5)*((5+5)/5+55)
1658#6 6!+6!+√(6)^6+(6+6)/6
1658#7 7!-(√((7!+(7+7)!)/(7!))-777)
1658#8 8!/((√(8+8))!)-88/√(8+8)
