1701#1 (1+(1+1+1)!)*√(1+1+1)^(11-1)
1701#2 2*(2-2^(-2))*(2+22^2)
1701#3 (3!+3!)^3-3^3
1701#4 4!+(4!+(4+4)!)/(4!)-4
1701#5 (5!-5)*(5+5+5)-5!/5
1701#6 √(6+6)^6-(6/√(6+6))^6
1701#7 7+77*(77+77)/7
1701#8 (8!+8*8*8-8)/((√(8+8))!)
1701#9 9*9*(9+√9+9)
1702#1 (1+1+11)*(11*(1+11)-1)-1
1702#2 (2*(2+2))!/((2+2)!)+22
1702#3 ((3!*3)^3-3!!-3!)/3
1702#4 4!+(4+4)!/(4!)-√4
1702#5 (5!-5)*(5+5+5!/5/5)
1702#6 √(6+6)^6-6!/6/6-6
1702#7 (7+7)!/(7!+7!)/(7!)-7-7
1702#8 8!/((√(8+8))!)+88/√(8+8)
1702#9 (9+9)*99-(√9)!!/9
1703#1 (1+1+11)*(11*(1+11)-1)
1703#2 22+(2*22-2/2-2)^2
1703#3 ((3!*3)^3-3!!-3)/3
1703#4 4!+((4+4)!-4!)/(4!)
1703#5 √(√√(5!/(5+5))^(5!/5))-5*5
1703#6 (6!+(√6+√6)^6-6)/6-6!
1703#7 (√(7)^7-√7)*(√7-(√7+√7)/7)-7
1703#8 (√(8!+8)*(√(8+8))!-√8)/√8
1703#9 ((9+9)^√9-(√9)!!-√9)/√9
1704#1 (1+1+1+1)!*√(1+(1+(1+1+1)!)!)
1704#2 (2+2)!+(2*(2+2))!/((2+2)!)
1704#3 ((3!*3)^3-3!!)/3
1704#4 4!+(4+4)!/(4!)
1704#5 5!*((5!-5!/5)/5-5)
1704#6 (6!+(√6+√6)^6)/6-6!
1704#7 √(7!+7/7)*(77/7-7)!
1704#8 √((8!+8)*(8+8*8))
1704#9 ((9+9)^√9-(√9)!!)/√9
1705#1 11*(11+(1+11)^(1+1))
1705#2 22*(22+222/2/2)
1705#3 (3+(3!*3)^3-3!!)/3
1705#4 4!+(4!+(4+4)!)/(4!)
1705#5 55*(55-5!/5)
1705#6 (6+(6!-6)/6/6)*66
1705#7 (7+7)!/(7!+7!)/(7!)-77/7
1705#8 (√8+√(8!+8)*(√(8+8))!)/√8
1705#9 (√(9)^9-(√9)!*((√9)!!+√9))/9
1706#1 1+11*(11+(1+11)^(1+1))
1706#2 √(√√((2+2)!/2)^((2+2)!))-22
1706#3 (3!+(3!*3)^3-3!!)/3
1706#4 4!+√4+(4+4)!/(4!)
1706#5 5!*5+5555/5-5
1706#6 6+6!*(6!+6)/(√(6)^6)-6!
1706#7 (7+7*(7!+77))/(7+7+7)
1706#8 √√(8+8)+√((8!+8)*(8+8*8))
1706#9 (√(9)^9-(√9)!!*(√9)!-9)/9
1707#1 (1+1+1+11)*(11+111)-1
1707#2 2/2+√(√√((2+2)!/2)^((2+2)!))-22
1707#3 3^3+(3!+3/3)!/3
1707#4 4+4!+((4+4)!-4!)/(4!)
1707#5 5!*(5!+5!)/5/5+555
1707#6 √(6+6)^6-(6+6!/6)/6
1707#7 7+7!/7+(7+7)*(77-7)
1707#8 √(8+8*8)*(√(8!+8)+√8/8)
1707#9 (√(9)^9-(√9)!!*(√9)!)/9
1708#1 (1+1+1+11)*(11+111)
1708#2 2+√(√√((2+2)!/2)^((2+2)!))-22
1708#3 (3!+3!)^3-3!!/(3!)/(3!)
1708#4 4+4!+(4+4)!/(4!)
1708#5 (5!+(5+5)/5)*(5!/5-5-5)
1708#6 √(6+6)^6-6!/6/6
1708#7 7*7*(7*7-7-7)-7
1708#8 √(8+8)+√((8!+8)*(8+8*8))
