1751#1 1+11+11+(1+11)^(1+1+1)
1751#2 (2*22-2)^2-22/2-2
1751#3 ((3!)^3+(3!+3/3)!-3)/3
1751#4 4!+(√(√√(4!)^(4!)/4)-4)/4
1751#5 5/5+(5+5)*(5!+55)
1751#6 6+6+√(6+6)^6+66/6
1751#7 7*(7!/(7+7)-7)-7!/7
1751#8 8!/((√(8+8))!)+√((8!+8)/8)
1751#9 (√9)!!/9+9!/(((√9)!)^√9)-9
1752#1 (1+11)*(1+1+(1+11)^(1+1))
1752#2 (2+2)!+√(√√((2+2)!/2)^((2+2)!))
1752#3 3^3+(3!+3!)^3-3
1752#4 4!+√(√√(4!/√4)^(4!))
1752#5 5!*(5+(5!+5!)/5/5)
1752#6 6+6+6+6+√(6+6)^6
1752#7 7*(7!/(7+7)-7)-(7!-7)/7
1752#8 8+8*8+8!/((√(8+8))!)
1752#9 ((√9)!!+9/((√9)!!/(9!)))/√9
1753#1 ((1+1)*(11+11-1))^(1+1)-11
1753#2 (2*22-2)^2-22/2
1753#3 (3+(3!)^3+(3!+3/3)!)/3
1753#4 4!+(4+√(√√(4!)^(4!)/4))/4
1753#5 (5+5!*5!+5^5)/(5+5)
1753#6 6*6+√(6+6)^6-66/6
1753#7 77*(7+777/7/7)-7
1753#8 (8!*8-8)/(8*(√(8+8))!-8)
1753#9 (9!-9)/(((√9)!)^√9-9)
1754#1 (1+1+1)!!+11+(1+1)^(11-1)-1
1754#2 2*2*2*222-22
1754#3 3^3+(3!+3!)^3-3/3
1754#4 4!+√4+√(√√(4!/√4)^(4!))
1754#5 5!*(5+5)+555-5/5
1754#6 6+6!/6/6+√(6+6)^6
1754#7 (7!+7777)/7-77
1754#8 (8*888-88)/√(8+8)
1754#9 (√9)!!/9+9!/(((√9)!)^√9)-(√9)!
1755#1 (1+1+1)!!+11+(1+1)^(11-1)
1755#2 2+(2*22-2)^2-22/2
1755#3 3^3+(3!+3!)^3
1755#4 (4!+4)!/(4!)!/(4!+4^4)
1755#5 5!*(5+5)+555
1755#6 √(6+6)^6+(6/√(6+6))^6
1755#7 (√(7!)+√(7!))*(√(7!)-√((7+7)!+7!)/(7!))-7
1755#8 ((8+8+88)/8)!/88/(8!)
1755#9 √9*((√9)!*99-9)
1756#1 1+(1+1+1)!!+11+(1+1)^(11-1)
1756#2 2*(2*2*(222-2)-2)
1756#3 3/3+3^3+(3!+3!)^3
1756#4 4+4!+√(√√(4!/√4)^(4!))
1756#5 5/5+5!*(5+5)+555
1756#6 6!+6*6+√((66-6)/6)^6
1756#7 7+7!/7+7*7*(7+7+7)
1756#8 √(√(8*8-88/√(8+8))^8)-8
1756#9 √9+(9!-9)/(((√9)!)^√9-9)
1757#1 1+1+(1+1+1)!!+11+(1+1)^(11-1)
1757#2 √(2)^22-(2+((2+2)!)^2)/2-2
1757#3 3!*333-(3!!+3)/3
1757#4 √(44-√4)^4-(4!+4)/4
1757#5 5+5!*(5+(5!+5!)/5/5)
1757#6 √(6+6)^6+√(6!+(6!+6)/6)
1757#7 (7+7)*(7*7+77)-7
1757#8 8!/((√(8+8))!)+88-88/8
1757#9 (√9)!!/9+9!/(((√9)!)^√9)-√9
1758#1 (1+1+1)!!/(1/(1+1)-1/11)-1-1
1758#2 2*2*2*(222-2)-2
1758#3 (3!+3!)^3+33-3
1758#4 4*(444-4)-√4
1758#5 (5^5+5!*5!+55)/(5+5)
1758#6 6*6+√(6+6)^6-6
1758#7 √(7*7^7)+77-7!/7
1758#8 8+(8!+8!/((√(8+8))!))/((√(8+8))!)
1758#9 √9+√9*((√9)!*99-9)
1759#1 (1+1+1)!!/(1/(1+1)-1/11)-1
1759#2 √(2)^22-(2+((2+2)!)^2)/2
1759#3 3!*333-(3!!-3)/3
1759#4 (√(√(4)^(4!))-√(4!)^4-√4)/√4
1759#5 55/((5/(5+5))^5)-5/5
1759#6 6*6+6/6+√(6+6)^6-6
1759#7 √(7*7^7)-((7!-7)/7-77)
1759#8 8+8!/((√(8+8))!)+√((8!+8)/8)
1759#9 (√9)!+(9!-9)/(((√9)!)^√9-9)
1760#1 (1+1+1)!!/(1/(1+1)-1/11)
1760#2 2*2*2*(222-2)
1760#3 3!!/(3/(3!)-3/33)
1760#4 4*(444-4)
1760#5 55/((5/(5+5))^5)
1760#6 6!/(6/(6+6)-6/66)
1760#7 77*(7+777/7/7)
1760#8 (8+8+√(8+8))*88
1760#9 (√9)!!/9+9!/(((√9)!)^√9)
