1901#1 11+√((11-1)!*(1-√(1+1)^(-(1+11))))
1901#2 (2*22)^2-22/2-(2+2)!
1901#3 3*(3!!-3!)-(3!!+3)/3
1901#4 √(44)^4-44/4-4!
1901#5 (55*(5!+55)-5!)/5
1901#6 6+6!+(6^6/6-6!-6)/6
1901#7 77+(7!+7777)/7-7
1901#8 ((8!+8!+8!)/8+88)/8
1901#9 ((√9)!!-(√9)!)*(√9-√9/9)-√9
1902#1 (1+1)^11-(1+11)^(1+1)-1-1
1902#2 √(2)^22-((2+2)!/2)^2-2
1902#3 3*(3!!-3!)-3!!/3
1902#4 (4!+4)*(4!+44)-√4
1902#5 (5+55*(5!+55)-5!)/5
1902#6 6*(6!-6*66-6)-6
1902#7 (7!+7!)/7+7*77-77
1902#8 (8!-8*(√(8)^8-8)-8)/√(8+8)
1902#9 √9*((√9)!!-(√9)!!/9-(√9)!)
1903#1 (1+1)^11-(1+11)^(1+1)-1
1903#2 (2*22)^2-22/2-22
1903#3 3*(3!!-3!)-(3!!-3)/3
1903#4 (4!+4)*(4!+44)-4/4
1903#5 (5*5+(5!+5!)/5/5)*55
1903#6 ((6!-6)*(6+66/6)-6!)/6
1903#7 7+7!/7+(7+7)*(7+77)
1903#8 (8!-8)/8-√(√(8*8-8)^8)
1903#9 ((√9)!!-√9)*(√9-√9/9)-9
1904#1 (1+1)^11-(1+11)^(1+1)
1904#2 √(2)^22-((2+2)!/2)^2
1904#3 (3!!-3!)*(3-3/(3*3))
1904#4 (4!+4)*(4!+44)
1904#5 (5!-5/5)*(5+55/5)
1904#6 (6!-6)*(6-6!/(√(6)^6))
1904#7 √7*(√(7)^7-√(7+7!*7))
1904#8 8!/8-√(√(8*8-8)^8)
1904#9 ((√9)!!-(√9)!)*(√9-√9/9)
1905#1 (1+1)^11-11*(1+1+11)
1905#2 √(2)^22-(22/2)^2-22
1905#3 3!!+3!*3!*33-3
1905#4 √(44)^4-(4!+4)/4-4!
1905#5 5+(5!-5*5)*(5*5-5)
1905#6 6!*√(6+(√6+(√√6+√√6)^(-6))/√6)
1905#7 7!-(7!/7+√(7*7^7))-7-7
1905#8 (8!+8)/8-√(√(8*8-8)^8)
1905#9 (√9)!!+(√9+9)*99-√9
1906#1 1+(1+1)^11-11*(1+1+11)
1906#2 2*2*(22^2-2)-22
1906#3 3!!*3-(3^(3!)+33)/3
1906#4 √(44)^4-√4-4!-4
1906#5 5+(55*(5!+55)-5!)/5
1906#6 6+6!*(6-(6!+6)/(√(6)^6))
1906#7 (7+7/7)!/(7+7+7)-7-7
1906#8 8+8+(8!+8!+8!)/8/8
1906#9 ((√9)!!-√9)*(√9-√9/9)-(√9)!
1907#1 ((1+1+1+1)!)^(1+1)+11^(1+1+1)
1907#2 ((2+2)!)^2+√(√√(22/2)^((2+2)!))
1907#3 3+(3!!-3!)*(3-3/(3*3))
1907#4 √(4!)^4+√(√√(44/4)^(4!))
1907#5 (55+5!*(5!/5+55))/5
1907#6 6!+(6+6+6)*66-6/6
1907#7 77+(7!+7777-7)/7
1907#8 8+8+(8+(8!+8!+8!)/8)/8
1907#9 √9+((√9)!!-(√9)!)*(√9-√9/9)
1908#1 (1+1+1)!!+11*(111-1-1-1)
1908#2 (2*22)^2-(2+2)!-2-2
1908#3 3!!+3!*3!*33
1908#4 √(44)^4-4!-4
1908#5 5!*(5+(55-5/(5+5))/5)
1908#6 6*(6!-6*66-6)
1908#7 77+(7!+7777)/7
1908#8 (√(8+8))!*(88-8/(8+8)-8)
1908#9 (√9)!!+(√9+9)*99
1909#1 (1+1+1)!!*(11/(1+1+1)-1)-11
1909#2 (2*22)^2-2/2-(2+2)!-2
1909#3 3!!*3-(3!!+33)/3
1909#4 4/4+√(44)^4-4!-4
1909#5 (5!*(5*5+55)-55)/5
1909#6 6!+6/6+(6+6+6)*66
1909#7 77+(7+7!+7777)/7
1909#8 √(8)^8-√(8+8/8)^(8-8/8)
1909#9 ((√9)!!-√9)*(√9-√9/9)-√9
1910#1 (√(1+1)^11-√(1+1))^(1+1)-11-1
1910#2 (2*22)^2-(2+2)!-2
1910#3 3*(3!!-3)-(3!!+3)/3
1910#4 √(44)^4-√4-4!
1910#5 5!*(5+55/5)-5-5
1910#6 6+(6!-6)*(6-6!/(√(6)^6))
1910#7 7*(7+7*7*7-77)-7/7
1910#8 ((√(8+8))!-√√(√(8)^(-8)))*(88-8)
1910#9 ((√9)!!*9-(√9)!!-√9)/√9-9
1911#1 (√(1+1)^11-√(1+1))^(1+1)-11
1911#2 (2*22)^2-2/2-(2+2)!
1911#3 3*(3!!-3)-3!!/3
1911#4 √(44)^4-4/4-4!
1911#5 5!*(5+5+5)+555/5
1911#6 √(6!*6!+√(6)^6)*(√6+√6/(6+6))
1911#7 7*(7+7*7*7-77)
1911#8 √(√8+√8)^8+888-8/8
1911#9 (√9)!!*(√9-√9/9)-9
