201#1 1+(1+1)*(111-11)
201#2 (2+(22-2)^2)/2
201#3 3+3!*33
201#4 (√4+√(4!-4)^4)/√4
201#5 (5+√(√√(5+5)^(5!/5)))/5
201#6 6/((6+6)/(6+6*66))
201#7 7*(7+7)+(7!+7)/7/7
201#8 √(8!+√(√(8+8/8)^8))
201#9 √(9!/9+9*9)
202#1 (1+1)/(11/1111)
202#2 2+222-22
202#3 (3!!-3!)/3-3!*3!
202#4 4!+√4+4*44
202#5 5!+(555-5!)/5-5
202#6 6+√(6)^6-6!/6/6
202#7 7+(7+7)*(7+7)-7/7
202#8 8!/((√(8+8))!)/8-8
202#9 (√9+√(9!+9^√9))/√9
203#1 1+(1+1)/(11/1111)
203#2 2+(2+(22-2)^2)/2
203#3 (3^(3!)-3!!/(3!))/3
203#4 4!+((4!/4)!-4)/4
203#5 (5^5-5)/(5+5+5)-5
203#6 √(6)^6-6/6-6-6
203#7 7+(7+7)*(7+7)
203#8 √(8!+8/8+888)
203#9 ((√9)!+√(9!+9^√9))/√9
204#1 (1+11)*((1+1+1)!+11)
204#2 2+2+222-22
204#3 3!+3!*33
204#4 4!+(4!/4)!/4
204#5 5+5!+5!/5+55
204#6 √(6)^6-6-6
204#7 (77*(7+77)-7!)/7
204#8 √(8!+√(8-√√(8+8))^8)
204#9 ((√9)!)^√9-√9-9
205#1 ((1+1+1)!)^(1+1+1)-11
205#2 222-2^(2+2)-2/2
205#3 (3!)^3-33/3
205#4 4!+(4+(4!/4)!)/4
205#5 5*(5!-55)-5!
205#6 √(6)^6-66/6
205#7 ((7+7)/7)^7+77
205#8 √(8+8!+(8!+8)/8)-8
205#9 ((√9)!)^√9-99/9
206#1 1+((1+1+1)!)^(1+1+1)-11
206#2 222-2^(2+2)
206#3 (3!!-3)/3-33
206#4 ((4!+4)/4)!/(4!)-4
206#5 ((5!-5)*(5+5)-5!)/5
206#6 √(6)^6-(66-6)/6
206#7 (7+7+7!+7!)/7/7
206#8 8!/((√(8+8))!)/8-√(8+8)
206#9 ((√9)!)^√9-9/9-9
207#1 (1+1)*(111-1-1)-11
207#2 222-22/2-2-2
207#3 (3!)^3-3*3
207#4 4!*4+444/4
207#5 5!+(555-5!)/5
207#6 √(6)^6-(66-6-6)/6
207#7 (7+7)*(7+7)+77/7
207#8 (8!/((√(8+8))!)-(√(8+8))!)/8
207#9 ((√9)!)^√9-9
208#1 (1+1)*(111-1)-11-1
208#2 2*2*2*(2+(2+2)!)
208#3 (3!!+3)/3-33
208#4 4*(4+4!+4!)
208#5 (5^5-5)/(5+5+5)
208#6 √(6)^6-(6+6)/6-6
208#7 77+(7+7!+7!)/77
208#8 8+8+8*(√(8+8))!
208#9 (√9)!!-((√9)!/√9)^9
209#1 (1+1)*(111-1)-11
209#2 222-22/2-2
209#3 (3!)^3-3/3-3!
209#4 (((4!+4)/4)!-4!)/(4!)
209#5 (5!/5-5)*55/5
