1701,1,(1+(1+1+1)!)*√(1+1+1)^(11-1),l(1+l(1+1+1r)!r)t{s{1+1+1}}^{11-1}
1701,2,2*(2-2^(-2))*(2+22^2),2tl(2-{2}^{-2}r)tl(2+{22}^{2}r)
1701,3,(3!+3!)^3-3^3,{l(3!+3!r)}^{3}-{3}^{3}
1701,4,4!+(4!+(4+4)!)/(4!)-4,4!+f{x4!+l(4+4r)!}{x4!}-4
1701,5,(5!-5)*(5+5+5)-5!/5,l(5!-5r)tl(5+5+5r)-f{x5!}{x5}
1701,6,√(6+6)^6-(6/√(6+6))^6,{s{6+6}}^{6}-{l(f{x6}{xs{6+6}}r)}^{6}
1701,7,7+77*(77+77)/7,7+f{x77tl(77+77r)}{x7}
1701,8,(8!+8*8*8-8)/((√(8+8))!),f{x8!+8t8t8-8}{xl(s{8+8}r)!}
1701,9,9*9*(9+√9+9),9t9tl(9+s{9}+9r)
1702,1,(1+1+11)*(11*(1+11)-1)-1,l(1+1+11r)tl(11tl(1+11r)-1r)-1
1702,2,(2*(2+2))!/((2+2)!)+22,f{xl(2tl(2+2r)r)!}{xl(2+2r)!}+22
1702,3,((3!*3)^3-3!!-3!)/3,f{x{l(3!t3r)}^{3}-3!!-3!}{x3}
1702,4,4!+(4+4)!/(4!)-√4,4!+f{xl(4+4r)!}{x4!}-s{4}
1702,5,(5!-5)*(5+5+5!/5/5),l(5!-5r)tl(5+5+f{x5!}{x5t5}r)
1702,6,√(6+6)^6-6!/6/6-6,{s{6+6}}^{6}-f{x6!}{x6t6}-6
1702,7,(7+7)!/(7!+7!)/(7!)-7-7,f{xl(7+7r)!}{xl(7!+7!r)t7!}-7-7
1702,8,8!/((√(8+8))!)+88/√(8+8),f{x8!}{xl(s{8+8}r)!}+f{x88}{xs{8+8}}
1702,9,(9+9)*99-(√9)!!/9,l(9+9r)t99-f{xl(s{9}r)!!}{x9}
1703,1,(1+1+11)*(11*(1+11)-1),l(1+1+11r)tl(11tl(1+11r)-1r)
1703,2,22+(2*22-2/2-2)^2,22+{l(2t22-f{x2}{x2}-2r)}^{2}
1703,3,((3!*3)^3-3!!-3)/3,f{x{l(3!t3r)}^{3}-3!!-3}{x3}
1703,4,4!+((4+4)!-4!)/(4!),4!+f{xl(4+4r)!-4!}{x4!}
1703,5,√(√√(5!/(5+5))^(5!/5))-5*5,s{{s{\!\!s{f{x5!}{x5+5}}}}^{f{5!}{5}}}-5t5
1703,6,(6!+(√6+√6)^6-6)/6-6!,f{x6!+{l(s{6}+s{6}r)}^{6}-6}{x6}-6!
1703,7,(√7^7-√7)*(√7-(√7+√7)/7)-7,l({s{7}}^{7}-s{7}r)tl(s{7}-f{xs{7}+s{7}}{x7}r)-7
1703,8,(√(8!+8)*(√(8+8))!-√8)/√8,f{xs{8!+8}tl(s{8+8}r)!-s{8}}{xs{8}}
1703,9,((9+9)^√9-(√9)!!-√9)/√9,f{x{l(9+9r)}^{s{9}}-l(s{9}r)!!-s{9}}{xs{9}}
1704,1,(1+1+1+1)!*√(1+(1+(1+1+1)!)!),l(1+1+1+1r)!ts{1+l(1+l(1+1+1r)!r)!}
1704,2,(2+2)!+(2*(2+2))!/((2+2)!),l(2+2r)!+f{xl(2tl(2+2r)r)!}{xl(2+2r)!}
1704,3,((3!*3)^3-3!!)/3,f{x{l(3!t3r)}^{3}-3!!}{x3}
1704,4,4!+(4+4)!/(4!),4!+f{xl(4+4r)!}{x4!}
1704,5,5!*((5!-5!/5)/5-5),5!tl(f{x5!-f{x5!}{x5}}{x5}-5r)
1704,6,(6!+(√6+√6)^6)/6-6!,f{x6!+{l(s{6}+s{6}r)}^{6}}{x6}-6!
1704,7,√(7!+7/7)*(77/7-7)!,s{7!+f{x7}{x7}}tl(f{x77}{x7}-7r)!
1704,8,√((8!+8)*(8+8*8)),s{l(8!+8r)tl(8+8t8r)}
1704,9,((9+9)^√9-(√9)!!)/√9,f{x{l(9+9r)}^{s{9}}-l(s{9}r)!!}{xs{9}}
1705,1,11*(11+(1+11)^(1+1)),11tl(11+{l(1+11r)}^{1+1}r)
1705,2,22*(22+222/2/2),22tl(22+f{x222}{x2t2}r)
1705,3,(3+(3!*3)^3-3!!)/3,f{x3+{l(3!t3r)}^{3}-3!!}{x3}
1705,4,4!+(4!+(4+4)!)/(4!),4!+f{x4!+l(4+4r)!}{x4!}
1705,5,55*(55-5!/5),55tl(55-f{x5!}{x5}r)
1705,6,(6+(6!-6)/6/6)*66,l(6+f{x6!-6}{x6t6}r)t66
1705,7,(7+7)!/(7!+7!)/(7!)-77/7,f{xl(7+7r)!}{xl(7!+7!r)t7!}-f{x77}{x7}
1705,8,(√8+√(8!+8)*(√(8+8))!)/√8,f{xs{8}+s{8!+8}tl(s{8+8}r)!}{xs{8}}
1705,9,(√9^9-(√9)!*((√9)!!+√9))/9,f{x{s{9}}^{9}-l(s{9}r)!tl(l(s{9}r)!!+s{9}r)}{x9}
1706,1,1+11*(11+(1+11)^(1+1)),1+11tl(11+{l(1+11r)}^{1+1}r)
1706,2,√(√√((2+2)!/2)^((2+2)!))-22,s{{s{\!\!s{f{xl(2+2r)!}{x2}}}}^{l(2+2r)!}}-22
1706,3,(3!+(3!*3)^3-3!!)/3,f{x3!+{l(3!t3r)}^{3}-3!!}{x3}
1706,4,4!+√4+(4+4)!/(4!),4!+s{4}+f{xl(4+4r)!}{x4!}
1706,5,5!*5+5555/5-5,5!t5+f{x5555}{x5}-5
1706,6,6+6!*(6!+6)/(√6^6)-6!,6+f{x6!tl(6!+6r)}{x{s{6}}^{6}}-6!
