351#1 11*√(1+1)^(11-1)-1
351#2 2^(2+2)*22-2/2
351#3 3*(3!!/(3!)-3)
351#4 (4+4)*44-4/4
351#5 5!+5!+555/5
351#6 (6!+6!+666)/6
351#7 7+(√7+√(7)^7)/√7
351#8 √(8+8)*88-8/8
351#9 9*(√9+(√9)!*(√9)!)
352#1 11*√(1+1)^(11-1)
352#2 2^(2+2)*22
352#3 (3+3!!+333)/3
352#4 (4+4)*44
352#5 55/((5/(5+5))^5)/5
352#6 √(6+6)^6/(6!/66-6)
352#7 (7!-7-7)/(7+7)-7
352#8 √(8+8)*88
352#9 9+((√9)!+9/9)^√9
353#1 1+11*√(1+1)^(11-1)
353#2 (22^2+222)/2
353#3 (3!!*3-3!)/(3!)-3!
353#4 4/4+(4+4)*44
353#5 5+5!/((5+5)/(5+5!/5))
353#6 (6!+6!+6!-6)/6-6
353#7 7!/(7+7)-7
353#8 √(√(8+88/8)^8)-8
353#9 ((√9)!!*√9-(√9)!)/((√9)!)-(√9)!
354#1 ((1+1+1)!!-11-1)/(1+1)
354#2 2+2^(2+2)*22
354#3 3*3!!/(3!)-3!
354#4 √4+(4+4)*44
354#5 5!+5!+5!-5/5-5
354#6 6*(66-6)-6
354#7 7*7*7+77/7
354#8 √√(8+8)+√(8+8)*88
354#9 √9*(√9)!!/((√9)!)-(√9)!
355#1 (1+(1+1+1)!!-11)/(1+1)
355#2 ((2+2+2)!-2)/2-2-2
355#3 (3!+3!!*3)/(3!)-3!
355#4 ((4!/4)!-√4)/√4-4
355#5 5!+5!+5!-5
355#6 6+6+√(6+6/6)^6
355#7 (7+7!-77)/(7+7)
355#8 √(8!+8)*(√8/8+√(√√(8+8)))
355#9 (√9*((√9)!!-9)-√9)/((√9)!)
356#1 1+(1+(1+1+1)!!-11)/(1+1)
356#2 (2+2+2)!/2-2-2
356#3 (3!!*3-3!)/(3!)-3
356#4 (4!/4)!/√4-4
356#5 5!+5!+5!+5/5-5
356#6 √(6)^6+(6!+6!/6)/6
356#7 (7!-7*7-7)/(7+7)
356#8 √(8+8)*(8/8+88)
356#9 (√9+√9*((√9)!!-9))/((√9)!)
357#1 (1+1+1)!!/(1+1)-1-1-1
357#2 ((2+2+2)!-2)/2-2
357#3 3*3!!/(3!)-3
357#4 (√4+(4!/4)!)/√4-4
357#5 (√(5!)+√(5!)+√(5!))*(√(5!)-√(5!)/(5!))
357#6 6*(6!-6)/(6+6)
