451#1 11+(1+1)*(1+1)*(111-1)
451#2 22*(√(2)^(-2)+22-2)
451#3 (3!)^3+(3!!-3!)/3-3
451#4 (4!+4)/4+444
451#5 5!*(5!/5-5)/5-5
451#6 6/6+666-√(6)^6
451#7 (7-(7+7/7)/7)*77
451#8 (8+8!+8*8)/88-8
451#9 √9+(9!-9!/9)/((√9)!!)
452#1 11+(11+11-1)^(1+1)
452#2 2*(2+2+222)
452#3 (3!!-3!)/(3!)+333
452#4 4+4+444
452#5 (5+5!*(5!/5-5))/5-5
452#6 6*(6+6!/(√(6)^6)+66)
452#7 77/7+7*(77-7-7)
452#8 8+888/√√(8+8)
452#9 9+(9+(√9+9)!/(9!))/√9
453#1 11+(1+1)*((1+1)*111-1)
453#2 22/2+2*222-2
453#3 3!!/(3!)+333
453#4 4!*(√(√√(4-√4/4)^(4!))-4!)
453#5 5*(5!-5)-(5+5)/5-5!
453#6 (6!+6*(6!+66))/(6+6)
453#7 7*7*7+(777-7)/7
453#8 8+(8+√(8+8)*888)/8
453#9 √9+(√9)!*(9*9-(√9)!)
454#1 11*11+(1+1+1)*111
454#2 2+2*(2+2+222)
454#3 (3!)^3+(3!!-3!)/3
454#4 4!*(4!-4)-√4-4!
454#5 5*(5!-5)-5/5-5!
454#6 √(6)^6+(6!+6!-6-6)/6
454#7 7*7*7+777/7
454#8 8!/8/8-(88+88)
454#9 (√9)!+(9!-9!/9)/((√9)!!)
455#1 11+(1+1)*(1+1)*111
455#2 22/2+2*222
455#3 (3!)^3+(3!!-3)/3
455#4 44/4+444
455#5 5*(5!-5)-5!
455#6 √(6)^6+(6!+6!-6)/6
455#7 7*77-77-7
455#8 (8+√√(√(8)^(-8)))*(8*8-8)
455#9 ((√9)!!+((√9)!+9)^√9)/9
456#1 (1+1+1)!!-(1+1+1+1)!*11
456#2 2*(2+2+2+222)
456#3 3!!/3+(3!)^3
456#4 4!*(4!-4)-4!
456#5 5!*(5!/5-5)/5
456#6 √(6)^6+(6!+6!)/6
456#7 (7-7/7)*(77-7/7)
456#8 8+8*(8*8-8)
456#9 (√9)!!/√9+((√9)!)^√9
457#1 ((1+(1+1+1)!)!-1-1)/11-1
457#2 2+22/2+2*222
457#3 (3!)^3+(3!!+3)/3
457#4 (√4+4!)/√4+444
457#5 (5+5!*(5!/5-5))/5
457#6 √(6)^6+(6+6!+6!)/6
457#7 (7+7*(7!-7-7))/77
457#8 (8!-88-8-8)/88
457#9 9+(9!-9!/9)/((√9)!!)
458#1 ((1+(1+1+1)!)!-1-1)/11
458#2 22^2-(2+2)!-2
458#3 (3!)^3+(3!!+3!)/3
458#4 √(4!-√4)^4-√4-4!
458#5 (5!-5)/5+555-5!
458#6 √(6)^6+(6+6+6!+6!)/6
458#7 (7!*7-7-7)/77
458#8 (8!-8-8)/88
458#9 ((√9)!/√9)^9-(√9)!*9
459#1 1+((1+(1+1+1)!)!-1-1)/11
459#2 22^2-2/2-(2+2)!
459#3 (3!)^3+3^(3!)/3
459#4 (√(44)^4-4)/4-4!
459#5 5!/5+555-5!
459#6 6*(6!-6)/(6+6!/(√(6)^6))
459#7 (7+7+7*(7!+7))/77
459#8 (8+8!+8*8)/88
459#9 9*((√9)!*9-√9)
460#1 (1+1)*(11*(11+11-1)-1)
460#2 22^2-(2+2)!
460#3 (3!)^3+(3+3^(3!))/3
460#4 √(4!-√4)^4-4!
460#5 (5!-5)*(5-5/5)
460#6 6!-(6!+6!+6!/6)/6
460#7 7*77-77-(7+7)/7
460#8 8+8+888/√√(8+8)
460#9 (√9)!*(((√9)!!-√9)/9-√9)
461#1 (11+11)*(11+11-1)-1
461#2 22^2-22-2/2
461#3 (3!)^3+(3!+3^(3!))/3
461#4 (4+√(44)^4)/4-4!
461#5 5+5!*(5!/5-5)/5
461#6 ((6+6)!/(6!+6!)-6!)/(6!)
461#7 7*77-77-7/7
461#8 (8!+√(√(8+8)^8)-8)/88
461#9 ((√9)!+9/9)!/9-99
462#1 (11+11)*(11+11-1)
462#2 22^2-22
462#3 3!*(3!!/3/3-3)
462#4 (4!-√4)!/(4!-4)!
462#5 5+(5+5!*(5!/5-5))/5
462#6 66+6*66
462#7 7*77-77
462#8 8!/(88-8*8/88)
462#9 (√9)!*((√9)!!/9-√9)
463#1 (1+1)*(11*11+111)-1
463#2 2/2+22^2-22
463#3 3!+(3!)^3+(3!!+3)/3
463#4 √4*(4^4-4!)-4/4
463#5 (5+55555)/(5!)
463#6 6!/6+√(6+6/6)^6
463#7 7/7+7*77-77
463#8 8*8*8-√(√(8-8/8)^8)
463#9 ((√9)!*((√9)!!-9)-99)/9
464#1 (1+1)*(11*11+111)
464#2 2+22^2-22
464#3 3!*((3!!+3)/3/3-3)
464#4 √4*(4^4-4!)
464#5 5*(5!-5)-555/5
464#6 (6!+6)/6+√(6+6/6)^6
464#7 (7!-(√√√7+√√√7)^(7+7/7))/7
464#8 8+8+8*(8*8-8)
464#9 (((√9)!)^((√9)!)-(√9)!!)/99
