251#1 (1+1)*((1+1+1)!-1)!+11
251#2 (22+22^2)/2-2
251#3 (3!!+33)/3
251#4 4^4-4/4-4
251#5 5*55-5!/5
251#6 (6!+6!+66)/6
251#7 7!/(7+7+7)+77/7
251#8 8!/(8+8)/8-8*8
251#9 9+((√9)!!+(√9)!)/√9
252#1 11*(1+11+11)-1
252#2 2^(2*(2+2))-2-2
252#3 3!*3!+(3!)^3
252#4 4^4-4
252#5 (5+5)!/(5!)/(5!)
252#6 6*(6+6*6)
252#7 (7+7)*(7+77/7)
252#8 √(√(8+8)^8)-√(8+8)
252#9 9!/((√9)!!+(√9)!!)
253#1 11*(1+11+11)
253#2 (22+22^2)/2
253#3 (3!+3!!+33)/3
253#4 4^4+4/4-4
253#5 (5!+(5+5)!/(5!))/(5!)
253#6 6*6+√(6)^6+6/6
253#7 7*7*7-7!/(7+7*7)
253#8 √(√(8+8)^8)-√(8+8/8)
253#9 9+(√9+9^√9)/√9
254#1 1+11*(1+11+11)
254#2 2^(2*(2+2))-2
254#3 (3^(3!)+33)/3
254#4 4^4-√4
254#5 (5!+(5!-5)*(5+5))/5
254#6 (6!+6!+6!/6)/6-6
254#7 7+7+7!/(7+7+7)
254#8 √(√(8+8)^8)-√√(8+8)
254#9 9+((√9)!+9^√9)/√9
255#1 √√(√√√√√√(1+1)^((1+1)^11))-1
255#2 2^(2*(2+2))-2/2
255#3 3!+(3!)^3+33
255#4 4^4-4/4
255#5 5+5*(55-5)
255#6 6*(6+6*6+6/(6+6))
255#7 7!/(7+7)-7*(7+7)-7
255#8 √(√(8+8)^8)-8/8
255#9 9+(√9)!+(√9)!!/√9
256#1 √√(√√√√√√(1+1)^((1+1)^11))
256#2 2^(2*(2+2))
256#3 (3!/3)^((3!/3)^3)
256#4 4^4
256#5 (5-5/5)^(5-5/5)
256#6 √(6)^6+6!/(6+6+6)
256#7 ((7+7)/7)^(7+7/7)
256#8 √(√(8+8)^8)
256#9 ((√9)!/√9)^(9-9/9)
257#1 1+√√(√√√√√√(1+1)^((1+1)^11))
257#2 2/2+2^(2*(2+2))
257#3 3!+(3!!+33)/3
257#4 4^4+4/4
257#5 5+(5+5)!/(5!)/(5!)
257#6 6+(6!+6!+66)/6
257#7 77+7!/(77-7*7)
257#8 8/8+√(√(8+8)^8)
257#9 9+9+((√9)!!-√9)/√9
258#1 1+1+√√(√√√√√√(1+1)^((1+1)^11))
258#2 2+2^(2*(2+2))
258#3 3!!/3+3!*3
258#4 √4+4^4
258#5 5!+5!+(5!-5)/5-5
258#6 6+6*(6+6*6)
258#7 7!/7-(7*77-77)
258#8 √√(8+8)+√(√(8+8)^8)
258#9 9+9+(√9)!!/√9
259#1 (1+1+1/(1+1+1))*111
259#2 2+2/2+2^(2*(2+2))
259#3 3!*3+(3!!+3)/3
259#4 4+4^4-4/4
259#5 5!+5!+5!/5-5
259#6 (6!+6!+6!/6-6)/6
259#7 7*7*7-77-7
259#8 √(8+8/8)+√(√(8+8)^8)
259#9 9+9+((√9)!!+√9)/√9
260#1 (1+1)*(11*(1+11)-1-1)
260#2 2+2+2^(2*(2+2))
260#3 3!*3+(3!!+3!)/3
260#4 4+4^4
260#5 5!+5!+5*5-5
260#6 (6!+6!+6!/6)/6
260#7 (7+7)*(77-7)-7!/7
260#8 √(8+8)+√(√(8+8)^8)
260#9 9+9+((√9)!!+(√9)!)/√9
261#1 (1+1)*(11*(1+11)-1)-1
261#2 ((2+2)!*22-2)/2-2
261#3 3*(3!+3*3^3)
261#4 4+4^4+4/4
261#5 55/5+5*(55-5)
261#6 (6+6!+6!+6!/6)/6
261#7 7+7+7+7!/(7+7+7)
261#8 (√(8)^8+88-8)/(8+8)
261#9 √9*((√9)!+9*9)
262#1 (1+1)*(11*(1+11)-1)
262#2 22^2-222
262#3 (3!!+√(3!*(3!!+3!)))/3
262#4 4+√4+4^4
262#5 (5+5+5!*5!)/55
262#6 (6+6)*(6!+66)/6/6
262#7 7!/(7+7)-7*(7+7)
262#8 8+√(√(8+8)^8)-√√(8+8)
262#9 9!/((√9)!!)-((√9)!!+(√9)!)/√9
263#1 (1+1+1+1)!*11-1
263#2 ((2+2)!*22-2)/2
263#3 3^3+(3!!-3)/3-3
263#4 (4!*44-4)/4
263#5 5!+5!+(5!-5)/5
263#6 6*6+√(6)^6+66/6
263#7 7+((7+7)/7)^(7+7/7)
263#8 8+√(√(8+8)^8)-8/8
263#9 9!/((√9)!!)-((√9)!!+√9)/√9
264#1 (1+1+1+1)!*11
264#2 (2+2)!*22/2
264#3 (3!/3)^3*33
264#4 4+4+4^4
264#5 5!+5!+5!/5
264#6 (6-(6+6)/6)*66
264#7 77*(77/7-7)!/7
264#8 8+√(√(8+8)^8)
264#9 9!/((√9)!!)-(√9)!!/√9
265#1 1+(1+1+1+1)!*11
265#2 (2+(2+2)!*22)/2
265#3 3^3+(3!!-3!)/3
265#4 (4+4!*44)/4
265#5 5!+5!+5*5
265#6 6*66-(6!+66)/6
265#7 (√(7)^7-√7)/√7-77
265#8 8+8/8+√(√(8+8)^8)
265#9 √9*(9+((√9)!!-(√9)!)/9)
266#1 (1+1)*(1+11*(1+11))
266#2 2*22+222
266#3 3^3+(3!!-3)/3
266#4 4+4+√4+4^4
266#5 5!+5!+5/5+5*5
266#6 6+(6!+6!+6!/6)/6
266#7 7*7*7-77
266#8 8+√√(8+8)+√(√(8+8)^8)
266#9 √9*(9+((√9)!!-√9)/9)
267#1 11+√√(√√√√√√(1+1)^((1+1)^11))
267#2 2^(2*(2+2))+22/2
267#3 3!!/3+3^3
267#4 4^4+44/4
267#5 5*55-5!/(5+5+5)
267#6 (6!+√(6)^6+666)/6
267#7 (√7+√(7)^7)/√7-77
267#8 √(√(8+8)^8)+88/8
267#9 √(9+(√9)!!*99)
268#1 (1+1)*(1+1+11*(1+11))
268#2 2+2*22+222
268#3 3^3+(3!!+3)/3
268#4 4!/√4+4^4
268#5 5+5!+5!+(5!-5)/5
268#6 (√(6+6)^6-6!/6)/6
268#7 (√7+√7+√(7)^7)/√7-77
268#8 8+√(8+8)+√(√(8+8)^8)
