501#1 (1+1)^(11-1-1)-11
501#2 (√(2)^(22-2)-22)/2
501#3 (3*3)!/(3!!)-3
501#4 √4*4^4-44/4
501#5 (5+5^5)/5-5!-5
501#6 6!-6*(6*6+6/(6+6))
501#7 77/7+7*(77-7)
501#8 (√(8)^8-88)/8
501#9 9!/((√9)!!)-√9
502#1 1+(1+1)^(11-1-1)-11
502#2 22+22^2-2-2
502#3 3!!-((3!)^3+3!/3)
502#4 √4*(4^4-4)-√4
502#5 (5+5)*(55-5!/5/5)
502#6 6!-(√(6)^6+(6+6)/6)
502#7 7*(77-7)+(7+77)/7
502#8 (8+√(8)^8-88)/8
502#9 9!/((√9)!!)-(√9)!/√9
503#1 (1+(1+1+1)!)!/(11-1)-1
503#2 2+(√(2)^(22-2)-22)/2
503#3 ((3*3)!-3!!)/(3!!)
503#4 √4*(4^4-4)-4/4
503#5 (5^5-5-5)/5-5!
503#6 6!-(√(6)^6+6/6)
503#7 7*7!/(77-7)-7/7
503#8 (√(8)^8-8)/8-8
503#9 (9!-(√9)!!)/((√9)!!)
504#1 (1+(1+1+1)!)!/(11-1)
504#2 22+22^2-2
504#3 (3*3)!/(3!!)
504#4 √4*(4^4-4)
504#5 (5^5-5)/5-5!
504#6 6!-√(6)^6
504#7 7*7!/(77-7)
504#8 8*8*8-8
504#9 9!/((√9)!!)
505#1 1+(1+(1+1+1)!)!/(11-1)
505#2 22+22^2-2/2
505#3 (3!!+(3*3)!)/(3!!)
505#4 √(4!-4/4)^4-4!
505#5 5^5/5-5!
505#6 6!-(√(6)^6-6/6)
505#7 √(7+7/7)^(7-7/7)-7
505#8 (8+√(8)^8)/8-8
505#9 ((√9)!!+9!)/((√9)!!)
506#1 (11+11)*(1+11+11)
506#2 22+22^2
506#3 ((3!/3)^3)^3-3!
506#4 √4*4^4-√4-4
506#5 (5+5^5)/5-5!
506#6 √(6+(6+6)/6)^6-6
506#7 (7-(7+7+7)/7/7)*77
506#8 (8+8+√(8)^8)/8-8
506#9 ((√9)!/√9)^9-(√9)!
507#1 (1+1+1)*(1+1+11)^(1+1)
507#2 2/2+22+22^2
507#3 3+(3*3)!/(3!!)
507#4 4!+(√(44)^4-4)/4
507#5 555-(5!+5!)/5
507#6 6*66+666/6
507#7 7!/(7+7)+7*(7+7+7)
507#8 (√(8)^8-8)/8-√(8+8)
507#9 √9+9!/((√9)!!)
508#1 (1+1)*(1+11*(1+11+11))
508#2 (2+2)!+22^2
508#3 3+(3!!+(3*3)!)/(3!!)
508#4 √4*4^4-4
508#5 555-(5!+5!-5)/5
508#6 6+6!-(√(6)^6+(6+6)/6)
508#7 √(7*(7+7!*7))+77/7
508#8 8*8*8-√(8+8)
508#9 √9+((√9)!!+9!)/((√9)!!)
509#1 (1+1)^(11-1-1)-1-1-1
509#2 (√(2)^(22-2)-2)/2-2
509#3 ((3!/3)^3)^3-3
509#4 (√(√(4)^(4!))-4!)/(4+4)
509#5 5+(5^5-5)/5-5!
509#6 6+6!-(√(6)^6+6/6)
509#7 (7+7*(7!+7*7))/(77-7)
509#8 (√(8)^8-(√(8+8))!)/8
509#9 ((√9)!/√9)^9-√9
510#1 (1+1)^(11-1-1)-1-1
510#2 √(√(√2*2)^((2+2)!))-2
510#3 3!+(3*3)!/(3!!)
510#4 √4*4^4-√4
510#5 5+5^5/5-5!
510#6 6+6!-√(6)^6
510#7 7!/7-7!/((77/7-7)!)
510#8 (√(8)^8-8-8)/8
510#9 (√9)!+9!/((√9)!!)
511#1 (1+1)^(11-1-1)-1
511#2 (√(2)^(22-2)-2)/2
511#3 3!+(3!!+(3*3)!)/(3!!)
511#4 √4*4^4-4/4
511#5 5+(5+5^5)/5-5!
511#6 6+6!-(√(6)^6-6/6)
511#7 7*(7+77)-77
511#8 (√(8)^8-8)/8
511#9 (√9)!+((√9)!!+9!)/((√9)!!)
512#1 (1+1)^(11-1-1)
512#2 √(√(√2*2)^((2+2)!))
512#3 ((3!/3)^3)^3
512#4 √4*4^4
512#5 √√(√(5!/(5+5+5))^(5!/5))
512#6 √(6+(6+6)/6)^6
512#7 √(7+7/7)^(7-7/7)
512#8 8*8*8
512#9 ((√9)!/√9)^9
513#1 1+(1+1)^(11-1-1)
513#2 (2+√(2)^(22-2))/2
513#3 3^(3!)-(3!)^3
513#4 4/4+√4*4^4
513#5 (5^5-555-5)/5
513#6 6/6+√(6+(6+6)/6)^6
513#7 7/7+√(7+7/7)^(7-7/7)
513#8 (8+√(8)^8)/8
513#9 9+9!/((√9)!!)
514#1 1+1+(1+1)^(11-1-1)
514#2 2+√(√(√2*2)^((2+2)!))
514#3 3/3+3^(3!)-(3!)^3
514#4 √4+√4*4^4
514#5 (5^5-555)/5
514#6 6!-(√(6)^6-(66-6)/6)
514#7 7!/(7+7)+77+77
514#8 (8+8+√(8)^8)/8
514#9 9+((√9)!!+9!)/((√9)!!)
515#1 1+1+1+(1+1)^(11-1-1)
515#2 2+(2+√(2)^(22-2))/2
515#3 3+((3!/3)^3)^3
515#4 (4!+√(√(4)^(4!)))/(4+4)
515#5 5!+5!+5*55
515#6 6!-(√(6)^6-66/6)
515#7 7*77-(77/7-7)!
