551#1 1+(1111-11)/(1+1)
551#2 ((2+2)!)!/22!-2/2
551#3 (3!!+3!!+(3!)^3-3)/3
551#4 √(4!)^4-4/4-4!
551#5 5*(5!-5)-5!/5
551#6 6+666-(6!+6)/6
551#7 7*77+(7+77)/7
551#8 8+(8+8!/8)/8-88
551#9 ((√9)!+9/9)!/9-9
552#1 ((1+1+1+1)!)!/(11+11)!
552#2 ((2+2)!)!/22!
552#3 3!!-3!*3^3-3!
552#4 √(4!)^4-4!
552#5 5!*(5!-5)/5/5
552#6 6+666-6!/6
552#7 7+7+7*77-7/7
552#8 8!/(8+8*8)-8
552#9 (√9)!!-9!/((√9)!!*√9)
553#1 (1111-1)/(1+1)-1-1
553#2 2/2+((2+2)!)!/22!
553#3 (3+3!!+3!!+(3!)^3)/3
553#4 4!+√(4!-4/4)^4
553#5 555-(5+5)/5
553#6 6+666-(6!-6)/6
553#7 7+7+7*77
553#8 (8!/8+88)/8-88
553#9 (√9)!!-(9!/((√9)!!)-√9)/√9
554#1 (1111-1)/(1+1)-1
554#2 ((2+2)!)^2-22
554#3 (3!+3/3)!/3/3-3!
554#4 √4+√(4!)^4-4!
554#5 555-5/5
554#6 (6*6^6-6!)/(6!-√(6)^6)
554#7 7+7+7/7+7*77
554#8 √√(8+8)+8!/(8+8*8)-8
554#9 ((√9)!+9/9)!/9-(√9)!
555#1 (1111-1)/(1+1)
555#2 (2+√(2)^(-2))*222
555#3 3!!-3!*3^3-3
555#4 4!*(4!+√√√(√(4)^(-4!)))-4!
555#5 555
555#6 666-666/6
555#7 (7777-7)/(7+7)
555#8 (8888-8)/(8+8)
555#9 (√9)!!-9*(9+9)-√9
556#1 (1+1111)/(1+1)
556#2 2+((2+2)!)^2-22
556#3 (3+3333)/(3!)
556#4 4+√(4!)^4-4!
556#5 5/5+555
556#6 (6^6-6!)/6/6-6!
556#7 (7+7777)/(7+7)
556#8 8!/(8+8*8)-√(8+8)
556#9 ((√9)!!+(√9)!*((√9)!!-(√9)!))/9
557#1 1+(1+1111)/(1+1)
557#2 2+(2+√(2)^(-2))*222
557#3 (3!+3/3)!/3/3-3
557#4 4+4!+√(4!-4/4)^4
557#5 (5+5)/5+555
557#6 666-(6!-66)/6
557#7 7+77/7+7*77
557#8 √(8*(8!+8))-88/8
557#9 ((√9)!+9/9)!/9-√9
558#1 1+1+(1+1111)/(1+1)
558#2 2+2+((2+2)!)^2-22
558#3 3!!-3!*3^3
558#4 √(4!)^4-4*4-√4
558#5 5+555-(5+5)/5
558#6 6!-(6!+√(6)^6)/6-6
558#7 7+7*77+(7+77)/7
558#8 (8!-√(8)^8)/8/8-8
558#9 (√9)!!-9*(9+9)
559#1 ((1+1+1)!-1)*(1+111)-1
559#2 (2+(2+2)!)*(22-√(2)^(-2))
559#3 ((3!+3/3)!/3-3)/3
559#4 √(4!)^4-4/4-4*4
559#5 5+555-5/5
559#6 √(6)^6+√(6+6/6)^6
559#7 7!/7-(77+77)-7
559#8 (8!/(8+8/8)-8)/8
559#9 (((√9)!+9/9)!-9)/9
560#1 ((1+1+1)!-1)*(1+111)
560#2 ((2+2)!)^2-2^(2+2)
560#3 (3!+3/3)!/3/3
560#4 √(4!)^4-4*4
560#5 5+555
560#6 6!-(6!+(6!+6!)/6)/6
560#7 7!/(7+(7+7)/7)
560#8 8!/(8+8*8)
560#9 ((√9)!+9/9)!/9
561#1 (11+1111)/(1+1)
561#2 (2+(2+2)!-√(2)^(-2))*22
561#3 3+3!!-3!*3^3
561#4 √(4!)^4-44/4-4
561#5 5+5/5+555
561#6 6!-(6!+(6!+6!)/6-6)/6
561#7 (7+(7+7)/7/7)*77
561#8 (8+8!/(8+8/8))/8
561#9 ((√9)!-√9/9)*99
562#1 1+(11+1111)/(1+1)
562#2 2+((2+2)!)^2-2^(2+2)
562#3 ((3!*3-3)^3-3)/(3!)
562#4 √4+√(4!)^4-4*4
562#5 5+(5+5)/5+555
562#6 6+(6^6-6!)/6/6-6!
562#7 7+(7777-7)/(7+7)
562#8 √√(8+8)+8!/(8+8*8)
562#9 (((√9)!+9)^√9-√9)/((√9)!)
563#1 1+1+(11+1111)/(1+1)
563#2 ((2+2)!)^2-22/2-2
563#3 3+(3!+3/3)!/3/3
563#4 √(4!)^4-(√4+4!)/√4
563#5 5*(5!-5)-5!/(5+5)
563#6 6!-(6+6!+√(6)^6)/6
563#7 7*77+(77/7-7)!
563#8 (8!/8+√(8)^8)/(8+8)-8
563#9 √9+((√9)!+9/9)!/9
564#1 ((1+1+1+1)!)^(1+1)-11-1
564#2 ((2+2)!)^2-(2+2)!/2
564#3 3!+3!!-3!*3^3
564#4 4!*(4!-√4/4)
564#5 5*(5!-5)-55/5
564#6 6!-(6!+√(6)^6)/6
564#7 7+7+77/7+7*77
564#8 √(8*(8!+8))-√(8+8)
564#9 9*(9+(√9)!*9)-√9
565#1 ((1+1+1+1)!)^(1+1)-11
565#2 ((2+2)!)^2-22/2
565#3 ((3!+3!)^3-33)/3
565#4 √(4!)^4-44/4
565#5 5+5+555
565#6 6!-(6!+√(6)^6-6)/6
565#7 (7!-7)/7-(77+77)
565#8 ((8!-√(8)^8)/8-8)/8
565#9 (((√9)!)^((√9)!)/9-99)/9
566#1 11+(1111-1)/(1+1)
566#2 ((2+2)!)^2-(22-2)/2
566#3 3!+(3!+3/3)!/3/3
566#4 √(4!)^4-√4-4-4
566#5 55/5+555
566#6 6!-(6+6)!/(6!)/(6!)/6
566#7 7!/7-(77+77)
566#8 (8!-√(8)^8)/8/8
566#9 (√9)!+((√9)!+9/9)!/9
567#1 11+(1+1111)/(1+1)
567#2 2+((2+2)!)^2-22/2
567#3 3*((3!)^3-3^3)
567#4 4!*(4!-4!/√√(√(4)^(4!)))
567#5 5!/(5+5)+555
567#6 √(6)^6*(6-(6/(√6+√6))^6)
567#7 77+7*(77-7)
567#8 √(8*(8!+8))-8/8
567#9 9*(9+(√9)!*9)
568#1 1+11+(1+1111)/(1+1)
568#2 ((2+2)!)^2-2*(2+2)
568#3 ((3!*3)^3-3!!)/3/3
568#4 √(4!)^4-4-4
568#5 5!*5-((5+5)/5)^5
568#6 6!-(√(6)^6-((6+6)/6)^6)
568#7 √(7!+7/7)*(7+7/7)
568#8 √(8*(8!+8))
568#9 ((9+9)^√9-(√9)!!)/9
569#1 ((1+1+1+1)!)^(1+1)-(1+1+1)!-1
569#2 2+2+((2+2)!)^2-22/2
569#3 ((3!+3!)^3-3)/3-3!
569#4 √(4!)^4-(4!+4)/4
569#5 (5^5-5)/5-55
569#6 6!-(6/6+√(6)^6-66)
569#7 (7+7/7)!/(77-7)-7
569#8 8/8+√(8*(8!+8))
569#9 9+((√9)!+9/9)!/9
570#1 ((1+1+1+1)!)^(1+1)-(1+1+1)!
570#2 (2+(2+2)!)*22-2
570#3 (3!+3!)^3/3-3!
570#4 √(4!)^4-√4-4
570#5 5*(5!-5)-5
570#6 6!-(√(6)^6-66)
570#7 7*(7+77)-77/7-7
570#8 √√(8+8)+√(8*(8!+8))
570#9 √9+9*(9+(√9)!*9)
571#1 11+((1+1+1)!-1)*(1+111)
571#2 (2+(2+2)!)*22-2/2
571#3 (3!!-3!)/3+333
571#4 √(4!)^4-4/4-4
571#5 5!*5!/5/5-5
571#6 6!-(√(6)^6-66-6/6)
571#7 ((7+7)!/(7!*7-7!)-7!)/(7!)
571#8 (8!/8+√(8)^8)/(8+8)
571#9 (((√9)!+9/9)!+99)/9
572#1 11+(11+1111)/(1+1)
572#2 (2+(2+2)!)*22
572#3 (3!!-3)/3+333
572#4 √(4!)^4-4
572#5 (5+5!*5!/5)/5-5
572#6 (6+6-6!/(√(6)^6))*66
572#7 (7+7)!/(7!*7-7!)/(7!)
572#8 √(8+8)+√(8*(8!+8))
572#9 ((√9)!!+999-√9)/√9
573#1 ((1+1+1+1)!)^(1+1)-1-1-1
573#2 ((2+2)!)^2-2/2-2
