751#1 1111-(1+1+1)!!/(1+1)
751#2 √(√(2+2/2)^((2+2)!))+22
751#3 3!!+33-3!/3
751#4 4!+√(√(4-4/4)^(4!))-√4
751#5 5+5!+(5+5^5)/5
751#6 6!+(6+√(6)^6)/6-6
751#7 7*7+(7!-77)/7-7
751#8 (8!+√(√(88)^8))/8/8
751#9 (√9)!!+(99-(√9)!)/√9
752#1 (1+1+1)!!+√(1+1)^(11-1)
752#2 2*((22-2)^2-(2+2)!)
752#3 3!!+33-3/3
752#4 √(4!)^4+4*44
752#5 5+5!+(5+5+5^5)/5
752#6 6+6+6!+6!/6/6
752#7 7+7+7+(7!+77)/7
752#8 8*(8+88)-8-8
752#9 (√9)!!+(99-√9)/√9
753#1 (1+1+1)!!+(1+1+1)*11
753#2 (2+2)!+√(√(2+2/2)^((2+2)!))
753#3 3!!+33
753#4 4!+√(√(4-4/4)^(4!))
753#5 (5+5+5)*(55-5!/5/5)
753#6 6!+6/((6+6)/66)
753#7 777-(77/7-7)!
753#8 √(√(8-8/8)^8)+8*88
753#9 (√9)!!+99/√9
754#1 1+(1+1+1)!!+(1+1+1)*11
754#2 2*((22-2)^2-22)-2
754#3 3!!+3/3+33
754#4 (4!+4)!/(√4+4!)!-√4
754#5 5+5+5!+(5^5-5)/5
754#6 6!+(√(6)^6-6-6)/6
754#7 (7!+777)/7-77
754#8 (√(8)^8+√(√(88)^8/(8+8)))/8
754#9 (√9)!!+(√9+99)/√9
755#1 (1+1+1)!!+(1+1+1+1)!+11
755#2 (2+2)!+(2+2+2)!+22/2
755#3 3!!+3!/3+33
755#4 4!+(4!/4)!+44/4
755#5 5*(5!+55)-5!
755#6 6!+(√(6)^6-6)/6
755#7 7!/7+7*7-7-7
755#8 8+((8!+8!)/8-√(8)^8-8)/8
755#9 (√9)!!+((√9)!+99)/√9
756#1 (1+1+1)!!+((1+1+1)!)^(1+1)
756#2 2*((22-2)^2-22)
756#3 3!!+3!*3!
756#4 (4!+4)!/(√4+4!)!
756#5 5!+(5^5+55)/5
756#6 6!+6*6
756#7 777-7-7-7
756#8 (8-√√(√(8)^(-8)))*(8+88)
756#9 (√9)!!+(√9)!*(√9)!
757#1 (1+1+1)!!+111/(1+1+1)
757#2 ((2+2)!*√(√(2)^((2+2)!))-22)/2
757#3 3!!+3!*3!+3/3
757#4 4+4!+√(√(4-4/4)^(4!))
757#5 5!+(5+5^5+55)/5
757#6 6!+(6+√(6)^6)/6
757#7 7*7+(7!-77-7)/7
757#8 8*(8+88)-88/8
757#9 (√9)!!+(√9)!!/(9+9)-√9
758#1 1+(1+1+1)!!+111/(1+1+1)
758#2 2+2*((22-2)^2-22)
758#3 3!!+3!*3!+3!/3
758#4 √(4!+4)^4-√4-4!
758#5 5!+(5!+5^5-55)/5
758#6 6!+(6+6+√(6)^6)/6
758#7 7*7+(7!-77)/7
758#8 8!/8/8+8*(8+8)
758#9 (√9)!!+(√9)!*((√9)!+√9/9)
759#1 (√(1+(1+(1+1+1)!)!)-1-1)*11
759#2 (2-√(2)^(-2))*(22+22^2)
759#3 3!+3!!+33
759#4 √(4!+4)^4-4/4-4!
759#5 5!+(5!+5^5)/5-5-5
759#6 6!+6*(6+6/(6+6))
759#7 777-77/7-7
759#8 8*(8+88)-8/8-8
759#9 √9+(√9)!!+(√9)!*(√9)!
760#1 (11-1)*((1+(1+1+1)!)*11-1)
760#2 (2+2+2)!+2*(22-2)
760#3 3!!+3!!/(3!)/3
760#4 √(4!+4)^4-4!
760#5 5*(5!+((5+5)/5)^5)
760#6 6!+6!/(6+6+6)
760#7 7*7+(7!-7-7)/7-7
760#8 8*(8+88)-8
760#9 (√9)!!+(√9)!!/(9+9)
761#1 √(1+1)^(11-1)+√(1+1+1)^(1+11)
761#2 (2+√(2)^22-(2+2)!*22)/2
761#3 3!!+(3+3!!/(3!))/3
761#4 4/4+√(4!+4)^4-4!
761#5 5+5!+(5^5+55)/5
761#6 6+6!+(√(6)^6-6)/6
761#7 7*7+(7!-7)/7-7
761#8 8/8+8*(8+88)-8
761#9 (√9)!!+(√9+(√9)!!/((√9)!))/√9
762#1 (1+(1+1+1)!)*(111-1-1)-1
762#2 (2+2+2)!+2*22-2
762#3 3^(3!)+33
762#4 (4!/4)!+44-√4
762#5 ((√√(5!)+√√(5!))^5/√√(5!)-5)/5-5
762#6 6+6!+6*6
762#7 7!/7+7*7-7
762#8 √√(8+8)+8*(8+88)-8
762#9 (√9)!+(√9)!!+(√9)!*(√9)!
763#1 (1+(1+1+1)!)*(111-1-1)
763#2 (2+2+2)!+2*22-2/2
763#3 3+3!!+3!!/(3!)/3
763#4 (4!/4)!+44-4/4
763#5 (√√(5!)+√√(5!))^5/√√(5!)/5-5
763#6 6+6!+(6+√(6)^6)/6
763#7 777-7-7
763#8 √(8+8/8)+8*(8+88)-8
763#9 √9+(√9)!!+(√9)!!/(9+9)
764#1 (1+1+1)!!+(1+1)*(11+11)
764#2 (2+2+2)!+2*22
764#3 3!!+33+33/3
764#4 (4!/4)!+44
764#5 5!+(5!+5^5)/5-5
764#6 6+6!+(6+6+√(6)^6)/6
764#7 7/7+777-7-7
764#8 8*(8+88)-√(8+8)
764#9 (√9)!!+(√9)!!/9-(√9)!*(√9)!
765#1 (1+(1+1+1)!)*111-11-1
765#2 2/2+(2+2+2)!+2*22
765#3 3!*3!+3^(3!)
765#4 4/4+(4!/4)!+44
765#5 5!+5*(5+5!+5)-5
765#6 6!+666/6-66
765#7 777-(7+77)/7
765#8 8*(8+88)-√(8+8/8)
765#9 (√9)!!+(√9)!*9-9
766#1 (1+(1+1+1)!)*111-11
766#2 2+(2+2+2)!+2*22
766#3 3!+3!!+3!!/(3!)/3
766#4 4*4!*(4+4)-√4
766#5 5!+(√(√√√(5)^(5!)/5)-5)/(5!)-5
766#6 6!+66-6!/6/6
766#7 777-77/7
766#8 8*(8+88)-√√(8+8)
766#9 (√9)!+(√9)!!+(√9)!!/(9+9)
767#1 (1+11)*√(1+1)^(1+11)-1
767#2 ((2+2)!*√(√(2)^((2+2)!))-2)/2
767#3 3!!+3!*3!+33/3
767#4 (4!*√√(√(4)^(4!))-√4)/√4
767#5 ((√√(5!)+√√(5!))^5/√√(5!)-5)/5
767#6 6!+(√(6)^6+66)/6
767#7 7*7+(7!-7-7)/7
767#8 8*(8+88)-8/8
767#9 (√9)!!+9!/((√9)!!)/9-9
768#1 (1+11)*√(1+1)^(1+11)
768#2 2*(2+2)!*2^(2+2)
768#3 3!+3^(3!)+33
768#4 4*4!*(4+4)
768#5 (√√(5!)+√√(5!))^5/√√(5!)/5
768#6 6+6+6!+6*6
768#7 7*7+(7!-7)/7
768#8 8*(8+88)
768#9 (√9)!!+(√9)!*9-(√9)!
769#1 1+(1+11)*√(1+1)^(1+11)
769#2 (2+(2+2)!*√(√(2)^((2+2)!)))/2
769#3 3^(3!)+3!!/(3!)/3
769#4 (√4+4!*√√(√(4)^(4!)))/√4
769#5 5!+(5!+5^5)/5
769#6 6!+√((6!+√(6!/6)^6)/(6!))
769#7 7!/7+7*7
769#8 8/8+8*(8+88)
769#9 9^√9+(√9)!!/(9+9)
770#1 (1+(1+1+1)!)*(111-1)
770#2 22*((2+2)!+22/2)
770#3 3^(3!)+(3+3!!/(3!))/3
770#4 √4+4*4!*(4+4)
770#5 5!+5*(5+5!+5)
770#6 6!+(6!-6!/6)/(6+6)
770#7 777-7
770#8 √√(8+8)+8*(8+88)
770#9 9!/(((√9)!)^((√9)!)/99)
771#1 1+(1+(1+1+1)!)*(111-1)
771#2 (((2+2)!)^2-2)/2+22^2
771#3 3!!+3!*3+33
771#4 (4!+4!*4^4)/(4+4)
771#5 5!+(√(√√√(5)^(5!)/5)-5)/(5!)
771#6 6!+(6!-6*6)/(6+6)-6
771#7 7/7+777-7
771#8 √(8+8/8)+8*(8+88)
771#9 (√9)!!+(√9)!*9-√9
772#1 1+1+(1+(1+1+1)!)*(111-1)
772#2 ((2+2)!)^2/2+22^2
772#3 3+3^(3!)+3!!/(3!)/3
772#4 4+4*4!*(4+4)
772#5 5!+(5!+√(√√√(5)^(5!)/5)-5)/(5!)
772#6 (6+6)*66-6!/6/6
772#7 (7+7)/7+777-7
772#8 √(8+8)+8*(8+88)
772#9 (√9)!!+(√9)!*(9-√9/9)
773#1 (1+(1+1+1)!)*(1+111)-11
773#2 2*((2-2^(-2))*222-2)
773#3 3!!+(3!*3^3-3)/3
773#4 √(4!+4)^4-44/4
773#5 5+(√√(5!)+√√(5!))^5/√√(5!)/5
773#6 6!+(6!-6)/6-66
773#7 7+777-77/7
773#8 88/√(8/(8!+8))/8-8
773#9 (√9)!!+(√9)!*9-9/9
774#1 (1+(1+1+1)!)*111-1-1-1
774#2 ((2+2)!)!/22!+222
774#3 3!!+3*3!*3
774#4 (√4+4^4)*(4-4/4)
774#5 5+5!+(5!+5^5)/5
774#6 6!+66-6-6
774#7 777-(7+7+7)/7
774#8 (8!+√(√(8+88)^8))/8/8
774#9 (√9)!!+(√9)!*9
775#1 (1+(1+1+1)!)*111-1-1
775#2 2*(2-2^(-2))*222-2
775#3 3!!+(333-3)/(3!)
775#4 (√4-√(4)^(-4))*√(4!-4)^4
775#5 5*(5*55-5!)
775#6 6!+66-66/6
775#7 777-(7+7)/7
775#8 √((8!+8)/8)+8*88
