801#1 1+(1+1+1)!!/(1-1/(11-1))
801#2 (2+(2*(22-2))^2)/2
801#3 3!!+3*3^3
801#4 (√4+√(44-4)^4)/√4
801#5 (√5+(√5+√5)^5)/√5
801#6 6!+6^6/(6*√(6)^6-6!)
801#7 (77/7-7)!+777
801#8 (8+√(√(88-8)^8))/8
801#9 (√9)!!+9*9
802#1 (1+1)^(11-1)-(1+1)*111
802#2 2+2*(22-2)^2
802#3 3!!+(3!+3!!/3)/3
802#4 √4+√(4*(4!-4)^4)
802#5 (√5+√5+(√5+√5)^5)/√5
802#6 6!+(6!-√(6)^6-6-6)/6
802#7 7+(7!-7-7)/7+77
802#8 (√(8)^8-888)/√(8+8)
802#9 (√9)!!+9/9+9*9
803#1 11*(1+(1+1+1)!*(1+11))
803#2 (2+√(2)^22)/2-222
803#3 3+3!!+3!!/3/3
803#4 4+(√(44-4)^4-√4)/√4
803#5 (5+(5!+5!)/5/5)*55
803#6 6!+(6!-√(6)^6-6)/6
803#7 7+(7!-7)/7+77
803#8 (8+(8+8/8)/8)*88
803#9 √9+(√9)!!+(√9)!!/9
804#1 (1+11)*(1+(1+1+1)!*11)
804#2 2*(2+(22-2)^2)
804#3 3+3!!+3*3^3
804#4 4+√(4*(4!-4)^4)
804#5 5+((√5+√5)^5-√5)/√5
804#6 6!+(6!-√(6)^6)/6
804#7 7+7!/7+77
804#8 √(√(8!)/((√(8+8))!))^8-√(8)^8
804#9 √9+(√9)!!+9*9
805#1 1+(1+11)*(1+(1+1+1)!*11)
805#2 2/2+2*(2+(22-2)^2)
805#3 3+3!!+(3!+3!!/3)/3
805#4 4+(√4+√(44-4)^4)/√4
805#5 5+(√5+√5)^5/√5
805#6 6!+(6+6!-√(6)^6)/6
805#7 7+(7!+7)/7+77
805#8 ((8!+√(8)^8)/8+888)/8
805#9 (√9)!+(√9)!!+((√9)!!-9)/9
806#1 (11*(111-1)-1)/(1+1/(1+1))
806#2 2+2*(2+(22-2)^2)
806#3 3!+3!!+3!!/3/3
806#4 4!+√(4!+4)^4-√4
806#5 5+(√5+(√5+√5)^5)/√5
806#6 6!+6!/6/6+66
806#7 7+(7+7!+7)/7+77
806#8 8!/8/8+88+88
806#9 (√9)!+(√9)!!+(√9)!!/9
807#1 (1+1+1)!!+111-(1+1+1+1)!
807#2 22/2+2*((22-2)^2-2)
807#3 3!+3!!+3*3^3
807#4 4!+√(4!+4)^4-4/4
807#5 (5+5)!/(5!)/(5!)+555
807#6 6!+(6+6!/6)/6+66
807#7 77+(7!+77-7)/7
807#8 888-√(√(8+8/8)^8)
807#9 (√9)!+(√9)!!+9*9
808#1 (1-(1+1+1)/11)*1111
808#2 2*(2+2+(22-2)^2)
808#3 3^(3!)+(3!!/3-3)/3
808#4 4!+√(4!+4)^4
808#5 5!*5+(5^5-5)/(5+5+5)
808#6 6!+(6!-6!/6)/6-6-6
808#7 77+(7!+77)/7
808#8 (8-√√(8+8))!+88
808#9 9^√9+((√9)!!-9)/9
809#1 (1+1+1)!!+√(1+(1+1+1)!!*11)
809#2 ((2+2^(-2))*(2+2+2)!-2)/2
809#3 3^(3!)+3!!/3/3
809#4 4!+4/4+√(4!+4)^4
809#5 5+5+((√5+√5)^5-√5)/√5
809#6 6!+√((6+6!*66)/6)
809#7 77+(7+7!+77)/7
809#8 8+(8+√(√(88-8)^8))/8
809#9 (√9)!!/9+9^√9
810#1 (11-1)*(11-1-1)^(1+1)
810#2 (2+2^(-2))*(2+2+2)!/2
810#3 3^3*(33-3)
810#4 4!+√4+√(4!+4)^4
810#5 5!+(5!-5)*(5+5/5)
810#6 6+6!+(6!-√(6)^6)/6
810#7 (7!+7!/(7+7/7))/7
810#8 (8!+8!/8)/(8*8-8)
810#9 9*(99-9)
811#1 1+(11-1)*(11-1-1)^(1+1)
811#2 (22+(2*(22-2))^2)/2
811#3 3!!+(3!!/3+33)/3
811#4 4*(4!+(4+√(4)^(-4))*44)
811#5 5!*(5+5+5!/5)/5-5
811#6 6!+(666-6!/6)/6
811#7 7+7+7!/7+77
811#8 (88+√(√(88-8)^8))/8
811#9 9*99-(√9)!!/9
812#1 11*111/(1+1/(1+1))-1-1
812#2 2*(2+2+2+(22-2)^2)
812#3 3+3^(3!)+3!!/3/3
812#4 4+4!+√(4!+4)^4
