851#1 (1+1+1)!!+11*(1+11)-1
851#2 2*(2-2/((2+2)!))*222
851#3 3^(3!)+(3+3^(3!))/(3!)
851#4 (√4-√4/(4!))*444
851#5 5*(5!+55)-5!/5
851#6 6!+(6!+66)/6
851#7 7!/(7-7/7)+77/7
851#8 (8!/(8-√√(8+8))+88)/8
851#9 9*99-(√9)!!/(9+9)
852#1 (1+1+1)!!+11*(1+11)
852#2 2*(2*(2+222)-22)
852#3 3+3!!/(3!)+3^(3!)
852#4 (4!+(4+4)!/(4!))/√4
852#5 √(5!+(5!+(5+5)!)/5)
852#6 6!+66+66
852#7 √(7!+7/7)*(7+77)/7
852#8 √(8!+8)*(√8+√(√√(8+8)))
852#9 (√9+9)*((√9)!!/9-9)
853#1 1+(1+1+1)!!+11*(1+11)
853#2 (√(√√((2+2)!/2)^((2+2)!))-22)/2
853#3 3+3^(3!)+(3!!+3!)/(3!)
853#4 (√(√√(4!)^(4!))/4-44)/4
853#5 5/5+√(5!+(5!+(5+5)!)/5)
853#6 6+6+6!+(6!+6)/6
853#7 77+777-7/7
853#8 (√8+√(8!+8)*(8+√(8+8)))/√8
853#9 (√((√9)!*((√9)!)^9)-99)/9
854#1 (1+(1+1+1)!)*(11+111)
854#2 (2-2^(-2))*(2+2+22^2)
854#3 3^(3!)+(3+3!/3)^3
854#4 (4!-4)*44-√4-4!
854#5 5!+5!+(5^5-55)/5
854#6 6!+(6!+6!/6)/6-6
854#7 77+777
854#8 (8!-(8-√√(8+8))!)/8-√(8)^8
854#9 (√9)!!+(√9)!!/9+(√9)!*9
855#1 1+(1+(1+1+1)!)*(11+111)
855#2 ((2+2)!-2^(-2))*(2+2+2)^2
855#3 3!+3!!/(3!)+3^(3!)
855#4 (√(√(4)^(4!))-√(√4+4!)^4)/4
855#5 5+5*(5!+55-5)
855#6 6!+(6+6!+6!/6)/6-6
855#7 7/7+77+777
855#8 (8!-8)/8-88-√(8)^8
855#9 (√9)!!+9*((√9)!+9)
856#1 (11-1)^(1+1+1)-(1+11)^(1+1)
856#2 2*2*(222-2*(2+2))
856#3 3!!+(3!)^3-3!!/3/3
856#4 (4!-4)*44-4!
856#5 5!+(5^5+555)/5
856#6 6+6!+(6!+66-6)/6
856#7 (7+7)/7+77+777
856#8 88+8*(8+88)
856#9 (√9)!!+((√9)!)^√9-(√9)!!/9
857#1 (1+1+1)!*11*(1+1+11)-1
857#2 ((2*22)^2-222)/2
