951#1 (1+1+1)!!+11*(11+11-1)
951#2 √(√(2+2/2)^((2+2)!))+222
951#3 3!+3^(3!)+(3!)^3
951#4 4!*(4!+√√(√(√4+√4/4)^(4!)))
951#5 5/5+(5+5)*(5!-5*5)
951#6 6!+(6!+666)/6
951#7 (7!+(7+7+7)*77)/7
951#8 8+(8!-8)/8-√(8)^8
951#9 (√9)!!+(√9)!!/√9-9
952#1 (1+1+1)!!+11*11+111
952#2 2*(22^2-2*(2+2))
952#3 3!!+(3!!-3!)/3-3!
952#4 4!+4*(4^4-4!)
952#5 (5!*5!-5!)/(5+5+5)
952#6 6!+(6+6!+666)/6
952#7 7*7*(7+7+7)-77
952#8 8*8+888
952#9 ((√9)!!-(√9)!)*(√9+9)/9
953#1 (1+1+1)!!+11+(1+1)*111
953#2 2*(22^2-2)-22/2
953#3 3!!+(3!!-3)/3-3!
953#4 (√4+√(44)^4)/√4-4*4
953#5 (5+(5+5)/5)!/5-55
953#6 6!+(6!+6!-6)/6-6
953#7 (7+7/7)!/(7*7-7)-7
953#8 8+(8!+8)/8-√(8)^8
953#9 (√9)!!+((√9)!!+(√9)!)/√9-9
954#1 1111-(1+1+11)!/(11!)-1
954#2 2*(2+2+22^2)-22
954#3 3!!+3!!/3-3!
954#4 4!*(44-4)-√4-4
954#5 (√(√√(√(5!)+√(5!))^(5!/5))-√(5!))/√(5!)-5
954#6 6!+(6!+6!)/6-6
954#7 √(7*7^7)-(7!+7!)/7-7
954#8 (8!+88-8)/8-√(8)^8
954#9 (√9)!!+(√9)!!/√9-(√9)!
955#1 1111-(1+1+11)!/(11!)
955#2 ((2*22)^2-22)/2-2
955#3 3!!+(3!!-3!)/3-3
955#4 (√(44)^4-√4-4!)/√4
955#5 5+(5+5)*(5!-5*5)
955#6 6!+(6+6!+6!)/6-6
955#7 7+7!/(7+7)+7*(7+77)
955#8 (8!+88)/8-√(8)^8
955#9 (√9)!!+((√9)!!-(√9)!-9)/√9
956#1 11*(111-(1+1+1+1)!)-1
956#2 2*(22^2-2-2-2)
956#3 3!!+(3!!-3)/3-3
956#4 4!*(44-4)-4
956#5 (5-5/5)*(5!+5!-5/5)
956#6 6!+√(6)^6+6!/6/6
956#7 √√√7*(√√√7+√√√7)^7+7!/(7+77)
956#8 √(8+8)+8*8+888
956#9 ((√9)!!-√9)*(√9+9)/9
957#1 11*(111-(1+1+1+1)!)
957#2 ((2*22)^2-22)/2
957#3 3!!+3!!/3-3
957#4 √(4!+(4!+4)/4)^4-4
957#5 5+(5!*5!-5!)/(5+5+5)
957#6 6+6!+(6!+666)/6
957#7 77*(7+7-77/7/7)
957#8 (√(√(88)^8)-88)/8
957#9 (√9)!!+((√9)!!-9)/√9
958#1 1+11*(111-(1+1+1+1)!)
958#2 2*(22^2-2-2)-2
958#3 3!!+(3!!-3!)/3
958#4 4!*(44-4)-√4
958#5 (5+5)*(5!-(5!+5/5)/5)
958#6 6!+(6!+6!-6-6)/6
958#7 7!-((√7+√7)*√(7)^7-7!/7)
958#8 (8+√(√(88)^8)-88)/8
958#9 (√9)!!+((√9)!!-(√9)!)/√9
959#1 (1+1+1)!!*(1+1/(1+1+1))-1
959#2 (√(√(2)^22)-√2)^2/2-2
959#3 3!!+(3!!-3)/3
959#4 4!*(44-4)-4/4
959#5 (√(√√(√(5!)+√(5!))^(5!/5))-√(5!))/√(5!)
959#6 6!+(6!+6!-6)/6
