1#1[1] 1
1#2[2] 2/2
1#3[2] 3/3
1#4[2] 4/4
1#5[2] 5/5
1#6[2] 6/6
1#7[2] 7/7
1#8[2] 8/8
1#9[2] 9/9
2#1[2] 1+1
2#2[1] 2
2#3[2] 3!/3
2#4[1] √4
2#5[3] (5+5)/5
2#6[3] (6+6)/6
2#7[3] (7+7)/7
2#8[2] √√(8+8)
2#9[2] (√9)!/√9
3#1[3] 1+1+1
3#2[3] 2+2/2
3#3[1] 3
3#4[3] 4-4/4
3#5[4] (5+5+5)/5
3#6[4] (6+6+6)/6
3#7[4] (7+7+7)/7
3#8[3] √(8+8/8)
3#9[1] √9
4#1[4] 1+1+1+1
4#2[2] 2+2
4#3[3] 3+3/3
4#4[1] 4
4#5[3] 5-5/5
4#6[4] 6-(6+6)/6
4#7[4] 77/7-7
4#8[2] √(8+8)
4#9[3] √9+9/9
5#1[4] (1+1+1)!-1
5#2[4] 2+2+2/2
5#3[3] 3+3!/3
5#4[3] 4+4/4
5#5[1] 5
5#6[3] 6-6/6
5#7[4] 7-(7+7)/7
5#8[4] 8-√(8+8/8)
5#9[3] (√9)!-9/9
6#1[3] (1+1+1)!
6#2[3] 2+2+2
6#3[1] 3!
6#4[2] 4!/4
6#5[3] 5+5/5
6#6[1] 6
6#7[3] 7-7/7
6#8[3] 8-√√(8+8)
6#9[1] (√9)!
7#1[4] 1+(1+1+1)!
7#2[5] 22/2-2-2
7#3[3] 3!+3/3
7#4[3] (4!+4)/4
7#5[4] 5+(5+5)/5
7#6[3] 6+6/6
7#7[1] 7
7#8[3] 8-8/8
7#9[3] (√9)!+9/9
8#1[5] 11-1-1-1
8#2[3] 2*(2+2)
8#3[3] (3!/3)^3
8#4[2] 4+4
8#5[4] 5!/(5+5+5)
8#6[4] 6+(6+6)/6
8#7[3] 7+7/7
8#8[1] 8
8#9[3] 9-9/9
9#1[4] 11-1-1
9#2[4] 22/2-2
9#3[2] 3*3
9#4[4] 4+4+4/4
9#5[4] 5+5-5/5
9#6[5] (66-6-6)/6
9#7[4] 7+(7+7)/7
9#8[3] 8+8/8
9#9[1] 9
10#1[3] 11-1
10#2[4] (22-2)/2
10#3[4] (33-3)/3
10#4[3] 4+4!/4
10#5[2] 5+5
10#6[4] (66-6)/6
10#7[4] (77-7)/7
10#8[3] 8+√√(8+8)
10#9[3] 9+9/9
11#1[2] 11
11#2[3] 22/2
11#3[3] 33/3
11#4[3] 44/4
11#5[3] 55/5
11#6[3] 66/6
11#7[3] 77/7
11#8[3] 88/8
11#9[3] 99/9
12#1[3] 1+11
12#2[3] (2+2)!/2
12#3[2] 3!+3!
12#4[2] 4!/√4
12#5[3] 5!/(5+5)
12#6[2] 6+6
12#7[4] (7+77)/7
12#8[3] 8+√(8+8)
12#9[2] √9+9
13#1[4] 1+1+11
13#2[4] 2+22/2
13#3[4] (3!+33)/3
13#4[3] (√4+4!)/√4
13#5[4] (5!-55)/5
13#6[4] 6+6+6/6
13#7[4] 7+7-7/7
13#8[5] (8+8+88)/8
13#9[4] 9+√9+9/9
14#1[5] 1+1+1+11
14#2[4] 2^(2+2)-2
14#3[4] 3+33/3
14#4[3] 4*4-√4
14#5[4] 5!/5-5-5
14#6[4] 6!/6/6-6
14#7[2] 7+7
14#8[4] 8+8-√√(8+8)
14#9[4] √9+99/9
15#1[6] 1+1+1+1+11
15#2[5] 2+2+22/2
15#3[3] 3!*3-3
15#4[4] 4+44/4
15#5[3] 5+5+5
15#6[5] (6+6!/6)/6-6
15#7[4] 7+7+7/7
15#8[4] 8+8-8/8
15#9[2] (√9)!+9
16#1[6] (1+1)^(1+1+1+1)
16#2[3] 2^(2+2)
16#3[4] 3!*3-3!/3
16#4[2] 4*4
16#5[4] 5+55/5
16#6[5] 6+(66-6)/6
16#7[5] 7+7+(7+7)/7
16#8[2] 8+8
16#9[4] 9+(√9)!+9/9
17#1[5] (1+1+1)!+11
17#2[5] 2/2+2^(2+2)
17#3[4] 3!+33/3
17#4[4] 4/4+4*4
17#5[4] 5+5!/(5+5)
