1#1 $$1=1$$
2#1 $$2=1+1$$
3#1 $$3=1+1+1$$
4#1 $$4=1+1+1+1$$
5#1 $$5=\left(1+1+1\right)!-1$$
6#1 $$6=\left(1+1+1\right)!$$
7#1 $$7=1+\left(1+1+1\right)!$$
8#1 $$8=11-1-1-1$$
9#1 $$9=11-1-1$$
10#1 $$10=11-1$$
11#1 $$11=11$$
12#1 $$12=1+11$$
13#1 $$13=1+1+11$$
14#1 $$14=1+1+1+11$$
15#1 $$15=1+1+1+1+11$$
16#1 $$16={\left(1+1\right)}^{1+1+1+1}$$
17#1 $$17=\left(1+1+1\right)!+11$$
18#1 $$18=\left(1+1\right)\times\left(11-1-1\right)$$
19#1 $$19=\left(1+1\right)\times\left(11-1\right)-1$$
20#1 $$20=\left(1+1\right)\times\left(11-1\right)$$
21#1 $$21=11+11-1$$
22#1 $$22=11+11$$
23#1 $$23=1+11+11$$
24#1 $$24=\left(1+1+1+1\right)!$$
25#1 $$25=1+\left(1+1+1+1\right)!$$
26#1 $$26=\left(1+1\right)\times\left(1+1+11\right)$$
27#1 $$27={\left(1+1+1\right)}^{1+1+1}$$
28#1 $$28=\left(1+1\right)\times\left(1+1+1+11\right)$$
29#1 $$29=\left(1+1+1\right)\times\left(11-1\right)-1$$
30#1 $$30=\left(1+1+1\right)\times\left(11-1\right)$$
31#1 $$31={\sqrt{1+1}}^{11-1}-1$$
32#1 $$32={\sqrt{1+1}}^{11-1}$$
33#1 $$33=\left(1+1+1\right)\times11$$
34#1 $$34=1+\left(1+1+1\right)\times11$$
35#1 $$35=\left(1+1+1+1\right)!+11$$
36#1 $$36={\left(1+1+1\right)!}^{1+1}$$
37#1 $$37=\frac{\textstyle111}{\textstyle1+1+1}$$
38#1 $$38=1+\frac{\textstyle111}{\textstyle1+1+1}$$
39#1 $$39=\left(1+1+1\right)\times\left(1+1+11\right)$$
40#1 $$40=\left(1+1\right)\times\left(1+1\right)\times\left(11-1\right)$$
41#1 $$41=\left(1+1\right)\times\left(11+11-1\right)-1$$
42#1 $$42=\left(1+1\right)\times\left(11+11-1\right)$$
43#1 $$43=\left(1+1\right)\times\left(11+11\right)-1$$
44#1 $$44=\left(1+1\right)\times\left(11+11\right)$$
45#1 $$45=1+\left(1+1\right)\times\left(11+11\right)$$
46#1 $$46=\left(1+1\right)\times\left(1+11+11\right)$$
47#1 $$47={\left(1+1+1\right)!}^{1+1}+11$$
48#1 $$48=\left(1+1\right)\times\left(1+1+1+1\right)!$$
49#1 $$49={\left(1+\left(1+1+1\right)!\right)}^{1+1}$$
