1#1 1 $$1$$
2#1 1+1 $$1+1$$
3#1 1+1+1 $$1+1+1$$
4#1 1+1+1+1 $$1+1+1+1$$
5#1 (1+1+1)!-1 $$\left(1+1+1\right)!-1$$
6#1 (1+1+1)! $$\left(1+1+1\right)!$$
7#1 1+(1+1+1)! $$1+\left(1+1+1\right)!$$
8#1 11-1-1-1 $$11-1-1-1$$
9#1 11-1-1 $$11-1-1$$
10#1 11-1 $$11-1$$
11#1 11 $$11$$
12#1 1+11 $$1+11$$
13#1 1+1+11 $$1+1+11$$
14#1 1+1+1+11 $$1+1+1+11$$
15#1 1+1+1+1+11 $$1+1+1+1+11$$
16#1 (1+1)^(1+1+1+1) $${\left(1+1\right)}^{1+1+1+1}$$
17#1 (1+1+1)!+11 $$\left(1+1+1\right)!+11$$
18#1 (1+1)*(11-1-1) $$\left(1+1\right)\times\left(11-1-1\right)$$
19#1 (1+1)*(11-1)-1 $$\left(1+1\right)\times\left(11-1\right)-1$$
20#1 (1+1)*(11-1) $$\left(1+1\right)\times\left(11-1\right)$$
21#1 11+11-1 $$11+11-1$$
22#1 11+11 $$11+11$$
23#1 1+11+11 $$1+11+11$$
24#1 (1+1+1+1)! $$\left(1+1+1+1\right)!$$
25#1 1+(1+1+1+1)! $$1+\left(1+1+1+1\right)!$$
26#1 (1+1)*(1+1+11) $$\left(1+1\right)\times\left(1+1+11\right)$$
27#1 (1+1+1)^(1+1+1) $${\left(1+1+1\right)}^{1+1+1}$$
28#1 (1+1)*(1+1+1+11) $$\left(1+1\right)\times\left(1+1+1+11\right)$$
29#1 (1+1+1)*(11-1)-1 $$\left(1+1+1\right)\times\left(11-1\right)-1$$
30#1 (1+1+1)*(11-1) $$\left(1+1+1\right)\times\left(11-1\right)$$
31#1 √(1+1)^(11-1)-1 $${\sqrt{1+1}}^{11-1}-1$$
32#1 √(1+1)^(11-1) $${\sqrt{1+1}}^{11-1}$$
33#1 (1+1+1)*11 $$\left(1+1+1\right)\times11$$
34#1 1+(1+1+1)*11 $$1+\left(1+1+1\right)\times11$$
35#1 (1+1+1+1)!+11 $$\left(1+1+1+1\right)!+11$$
36#1 ((1+1+1)!)^(1+1) $${\left(1+1+1\right)!}^{1+1}$$
37#1 111/(1+1+1) $$\frac{\textstyle111}{\textstyle1+1+1}$$
